molecule_chembl_id,EStateC_0,EStateC_1,EStateC_2,EStateC_3,EStateC_4,EStateC_5,EStateC_6,EStateC_7,EStateC_8,EStateC_9,EStateC_10,EStateC_11,EStateC_12,EStateC_13,EStateC_14,EStateC_15,EStateC_16,EStateC_17,EStateC_18,EStateC_19,EStateC_20,EStateC_21,EStateC_22,EStateC_23,EStateC_24,EStateC_25,EStateC_26,EStateC_27,EStateC_28,EStateC_29,EStateC_30,EStateC_31,EStateC_32,EStateC_33,EStateC_34,EStateC_35,EStateC_36,EStateC_37,EStateC_38,EStateC_39,EStateC_40,EStateC_41,EStateC_42,EStateC_43,EStateC_44,EStateC_45,EStateC_46,EStateC_47,EStateC_48,EStateC_49,EStateC_50,EStateC_51,EStateC_52,EStateC_53,EStateC_54,EStateC_55,EStateC_56,EStateC_57,EStateC_58,EStateC_59,EStateC_60,EStateC_61,EStateC_62,EStateC_63,EStateC_64,EStateC_65,EStateC_66,EStateC_67,EStateC_68,EStateC_69,EStateC_70,EStateC_71,EStateC_72,EStateC_73,EStateC_74,EStateC_75,EStateC_76,EStateC_77,EStateC_78
CHEMBL10026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8865277777777778,24.37746672819725,-0.41503212396069533,0.0,0.0,0.6329771352985638,3.116796369782481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.025198117061843,0.0,0.0,0.0,0.0,0.0,13.040917894935752,6.168481434240363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL100615,0.0,0.0,0.0,0.0,0.0,0.0,4.620027589830045,0.0,6.62966006118593,0.0,1.9581237086937289,8.084033971613337,1.820713587508771,0.0,0.0,2.011934572973622,1.9755951301868069,0.0,-0.08503851955880815,0.0,0.0,0.0,0.0,2.875650481790002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.9405215372155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.902713503611321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1827310416164094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL10072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8865277777777778,24.37746672819725,-0.41503212396069533,0.0,0.0,0.6329771352985638,3.116796369782481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.025198117061843,0.0,0.0,0.0,0.0,0.0,13.040917894935752,6.168481434240363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL100749,0.0,0.0,0.0,0.0,0.0,0.0,1.880829287255153,0.0,0.0,0.0,0.0,17.097719478737996,-0.08882716049382733,0.0,0.0,0.0,2.863404614932393,1.8391437634724674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.578071741892693,0.0,0.0,3.5905707252036616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.016865326777243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL101323,0.0,0.0,0.0,0.0,0.0,0.0,4.563055529310489,0.0,7.687675710716386,0.0,0.0,0.0,1.8359301776266055,0.0,0.0,2.47625455351894,0.0,0.0,0.044298390652557584,0.0,6.170747603825481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.38870470101621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL10137,0.0,0.0,0.0,0.0,0.0,0.0,1.5930789664649554,0.0,0.0,0.0,1.8698929988662132,22.16272225709996,-0.47548941798941824,0.0,0.0,0.555217781557068,3.56737268106406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.030397875539574,0.0,0.0,0.0,0.0,0.0,13.199730725623581,11.497076131774003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL101540,0.0,0.0,0.0,0.0,0.0,0.0,4.45700804936172,0.0,9.423599825732762,0.0,2.0035156053162004,0.0,2.010542800453514,0.0,0.0,2.3233092797304113,0.0,0.0,0.21887794469639732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.449107011631813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9473728164105146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL101595,0.0,0.0,0.0,0.0,0.0,0.0,4.545549716028386,0.0,10.802279751406736,0.0,2.016848938649534,0.0,2.0539687263794404,0.0,0.0,2.3586102056563374,0.0,0.0,0.2627177028218697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.460024959057698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL101743,0.0,0.0,0.0,0.0,0.0,0.0,2.236549299042431,0.0,6.058034956649224,0.0,0.0,7.119666159290978,0.9743398198989819,0.0,0.0,-0.1100477135298561,0.9696705194423452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9339424927155946,0.0,0.0,0.0,0.0,0.0,11.789111473293021,5.528732993197279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL101893,0.0,0.0,0.0,0.0,0.0,0.0,4.754666742755668,0.0,7.533497195026204,0.0,1.9465955843999674,0.0,2.2920148205887276,0.0,0.0,1.5060091137584835,0.0,0.0,0.25468812988158196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.89693712426702,5.831810357426564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.150447598562453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
