molecule_chembl_id,SubFPC_0,SubFPC_1,SubFPC_2,SubFPC_3,SubFPC_4,SubFPC_11,SubFPC_13,SubFPC_17,SubFPC_22,SubFPC_48,SubFPC_84,SubFPC_87,SubFPC_132,SubFPC_134,SubFPC_136,SubFPC_168,SubFPC_170,SubFPC_171,SubFPC_176,SubFPC_178,SubFPC_179,SubFPC_180,SubFPC_181,SubFPC_183,SubFPC_210,SubFPC_213,SubFPC_273,SubFPC_274,SubFPC_278,SubFPC_286,SubFPC_287,SubFPC_288,SubFPC_289,SubFPC_294,SubFPC_295,SubFPC_296,SubFPC_297,SubFPC_299,SubFPC_300,SubFPC_301,SubFPC_302,SubFPC_304,SubFPC_306
CHEMBL10026,0,0,0,0,1,0,0,1,0,1,0,0,0,1,3,0,0,0,0,0,0,1,0,1,0,0,18,2,1,5,0,0,0,5,0,0,0,0,1,2,1,0,21
CHEMBL100615,2,7,3,2,1,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,5,1,0,0,0,7,0,0,0,4,1,5,1,2,18
CHEMBL10072,0,0,0,0,1,0,0,1,0,1,0,0,0,1,3,0,0,0,0,0,0,1,0,1,0,0,18,2,1,5,0,0,0,5,0,0,0,0,1,2,1,0,21
CHEMBL100749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,6,0,0,20,6,1,0,0,0,0,8,0,0,0,0,2,3,0,0,17
CHEMBL101323,2,8,3,2,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,3,0,0,0,3,1,0,1,2,9
CHEMBL10137,0,0,0,0,1,0,0,2,0,1,0,0,0,1,3,0,0,0,0,0,0,1,0,1,0,0,18,2,1,5,0,0,0,7,0,0,0,0,1,3,1,0,21
CHEMBL101540,1,8,3,2,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,4,0,0,0,2,1,2,1,2,9
CHEMBL101595,2,10,3,2,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,2,0,0,0,2,1,2,1,2,9
CHEMBL101743,1,6,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,1,0,0,0,0,0,5,0,0,0,1,1,5,0,1,8
CHEMBL101893,2,7,3,2,1,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,4,0,0,0,2,1,3,1,1,11
CHEMBL101947,2,7,3,2,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1,1,1,0,0,0,1,1,0,2,0,10
CHEMBL102409,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,1,0,0,0,0,0,5,0,0,0,1,1,4,0,1,7
CHEMBL102510,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,1,0,0,0,0,0,5,0,0,0,1,1,4,0,1,7
CHEMBL102536,3,4,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,1,0,0,0,0,0,5,0,0,0,1,1,4,0,1,10
CHEMBL102884,3,5,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,1,0,0,0,0,0,5,0,0,0,1,1,5,0,1,9
CHEMBL102981,1,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,1,0,0,0,0,0,5,0,0,0,1,1,4,0,1,8
CHEMBL103040,0,4,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,1,0,0,0,0,0,5,0,0,0,1,1,4,0,1,10
CHEMBL103685,2,5,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,1,0,0,0,0,0,5,0,0,0,0,0,4,0,0,8
CHEMBL104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,23,2,0,0,0,0,0,5,0,0,0,0,0,4,0,0,23
CHEMBL104047,0,7,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,1,0,0,0,0,0,5,0,0,0,1,1,4,0,1,10
CHEMBL104126,3,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,1,0,0,0,0,0,5,0,0,0,1,1,6,0,1,8
CHEMBL104566,1,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,1,0,0,0,0,0,5,0,0,0,1,1,4,0,1,8
CHEMBL105044,1,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,1,0,0,0,0,0,5,0,0,0,1,1,4,0,1,7
CHEMBL105289,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,1,0,0,0,0,0,5,0,0,0,1,1,4,0,1,7
CHEMBL105298,3,4,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,1,0,0,0,0,0,5,0,0,0,1,1,5,0,1,10
CHEMBL106,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,0,6,0,0,16,6,0,0,0,0,0,11,0,0,0,0,2,5,0,0,13
CHEMBL1077603,2,8,3,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,1,0,0,0,1,9
CHEMBL1077603,2,8,3,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,1,0,0,0,1,9
CHEMBL1078534,2,6,3,2,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1,1,2,0,0,0,2,1,0,2,1,11
CHEMBL1078534,2,6,3,2,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1,1,2,0,0,0,2,1,0,2,1,11
CHEMBL1079595,1,6,3,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,2,0,0,0,1,0,0,0,1,11
CHEMBL1079595,1,6,3,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,2,0,0,0,1,0,0,0,1,11
CHEMBL1082760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,17,2,0,0,0,0,0,7,0,0,0,0,1,4,0,0,16
CHEMBL1083353,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,1,1,0,3,0,0,19,3,2,4,0,0,0,8,0,0,0,0,1,2,0,0,17
CHEMBL1083354,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,1,1,1,3,0,0,19,3,2,4,0,0,0,8,0,0,0,0,1,2,0,0,17
CHEMBL1083652,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,1,0,1,1,1,3,0,0,19,3,2,4,0,0,0,8,0,0,0,0,2,2,0,0,17
CHEMBL1083653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,17,2,0,2,0,0,0,8,2,1,1,0,1,5,0,0,17
CHEMBL1083663,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,1,1,1,3,0,0,19,3,2,6,0,0,0,9,2,1,1,0,1,3,0,0,18
CHEMBL1083664,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,1,1,1,3,0,0,19,3,2,6,0,0,0,9,2,1,1,0,2,3,0,0,18
CHEMBL1083665,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,1,0,1,1,0,3,0,0,19,3,2,6,0,0,0,9,2,1,1,0,1,3,0,0,18
CHEMBL1083970,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,1,0,1,2,1,4,0,0,19,4,2,6,0,0,0,11,2,1,1,0,1,3,0,0,17
CHEMBL1083971,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,1,1,1,3,0,0,19,3,2,4,0,0,0,8,0,0,0,0,1,2,0,0,17
CHEMBL108425,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,3,0,0,17,3,0,0,2,0,0,7,0,0,0,0,0,4,0,0,16
CHEMBL108483,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,3,0,0,17,3,0,0,2,0,0,8,0,0,0,3,0,6,0,0,17
CHEMBL1085936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,17,2,0,2,0,0,0,8,2,1,1,0,1,5,0,0,17
CHEMBL108646,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,3,0,0,17,3,0,0,2,0,0,8,0,0,0,3,0,6,0,0,17
CHEMBL1088570,0,2,0,0,0,2,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,12,0,0,0,4,4,13,0,2,18
CHEMBL109211,1,8,5,1,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,2,0,0,0,2,1,1,1,2,10
CHEMBL109211,1,8,5,1,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,2,0,0,0,2,1,1,1,2,10
CHEMBL1093458,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,6,0,0,0,5,0,0,0,0,0,8,0,0,21
