molecule_chembl_id,CDKGraph_41,CDKGraph_104,CDKGraph_189,CDKGraph_264,CDKGraph_303,CDKGraph_497,CDKGraph_806,CDKGraph_977,CDKGraph_1017
CHEMBL10026,0,0,0,1,0,0,0,0,0
CHEMBL100615,1,1,1,1,1,1,1,1,1
CHEMBL10072,0,0,0,1,0,0,0,0,0
CHEMBL100749,0,0,0,1,1,1,1,0,0
CHEMBL101323,1,1,1,1,1,1,1,1,1
CHEMBL10137,0,0,0,1,0,0,0,0,0
CHEMBL101540,1,1,1,1,1,1,1,1,1
CHEMBL101595,1,1,1,1,1,1,1,1,1
CHEMBL101743,0,0,0,0,0,0,0,0,0
CHEMBL101893,1,1,1,1,1,1,1,1,1
CHEMBL101947,1,1,1,1,1,1,0,1,1
CHEMBL102409,0,0,0,0,0,0,0,0,0
CHEMBL102510,0,0,0,0,0,0,0,0,0
CHEMBL102536,1,1,1,1,1,1,1,1,1
CHEMBL102884,0,0,0,0,0,0,0,1,1
CHEMBL102981,0,0,0,1,0,0,0,0,0
CHEMBL103040,0,0,0,0,1,1,1,0,0
CHEMBL103685,0,0,0,1,0,0,0,1,1
CHEMBL104,0,1,1,1,1,0,0,1,1
CHEMBL104047,0,1,1,0,0,0,0,1,1
CHEMBL104126,0,0,0,0,0,0,0,0,0
CHEMBL104566,0,0,0,0,1,0,1,0,0
CHEMBL105044,0,1,1,0,0,0,0,1,1
CHEMBL105289,0,0,0,0,1,0,0,0,0
CHEMBL105298,0,0,0,1,0,0,0,0,0
CHEMBL106,0,1,1,1,1,0,0,1,1
CHEMBL1077603,1,1,1,1,1,1,1,1,1
CHEMBL1077603,1,1,1,1,1,1,1,1,1
CHEMBL1078534,1,1,1,1,1,1,1,1,1
CHEMBL1078534,1,1,1,1,1,1,1,1,1
CHEMBL1079595,1,1,1,1,1,1,1,1,1
CHEMBL1079595,1,1,1,1,1,1,1,1,1
CHEMBL1082760,0,0,0,0,1,0,0,0,0
CHEMBL1083353,0,0,0,1,1,0,0,0,0
CHEMBL1083354,0,0,0,1,1,0,0,0,0
CHEMBL1083652,0,0,0,1,1,0,0,0,0
CHEMBL1083653,0,0,0,0,1,0,0,0,0
CHEMBL1083663,0,0,0,1,1,0,0,0,0
CHEMBL1083664,0,0,0,1,1,0,0,0,0
CHEMBL1083665,0,0,0,1,1,0,0,0,0
CHEMBL1083970,0,0,0,1,1,0,0,0,0
CHEMBL1083971,0,0,0,1,1,0,0,0,0
CHEMBL108425,0,0,0,1,1,0,0,0,0
CHEMBL108483,0,1,0,1,1,0,0,1,0
CHEMBL1085936,0,0,0,0,1,0,0,0,0
CHEMBL108646,0,1,0,1,1,0,0,1,0
CHEMBL1088570,0,0,0,0,0,0,0,0,0
CHEMBL109211,1,1,1,1,1,1,1,1,1
CHEMBL109211,1,1,1,1,1,1,1,1,1
CHEMBL1093458,0,0,0,1,0,0,0,0,0
CHEMBL109347,0,1,1,0,0,0,0,1,1
CHEMBL1094149,0,0,0,1,0,0,0,0,0
CHEMBL1094154,0,0,0,1,1,1,1,0,0
CHEMBL1094331,0,0,0,1,1,1,1,0,0
CHEMBL1094426,0,0,0,1,1,1,1,0,0
CHEMBL1094427,0,0,0,1,0,0,0,0,0
CHEMBL1094428,0,0,0,1,1,1,1,0,0
CHEMBL1095413,0,1,0,1,1,1,1,1,0
CHEMBL1096024,0,0,0,1,1,1,1,0,0
CHEMBL1096024,0,0,0,1,1,1,1,0,0
CHEMBL1096439,0,0,0,1,1,1,1,0,0
CHEMBL1096744,0,0,0,1,0,0,0,0,0
CHEMBL1097041,0,0,0,1,1,1,1,0,0
CHEMBL1097042,0,0,0,1,0,0,0,0,0
CHEMBL1097043,0,0,0,1,1,1,1,0,0
CHEMBL1097371,0,1,0,1,1,1,1,1,1
CHEMBL1097763,0,0,0,1,0,0,0,0,0
CHEMBL1097764,1,1,0,1,1,1,1,1,1
CHEMBL1097980,0,0,0,1,1,1,1,0,0
CHEMBL1098382,0,0,0,1,1,1,1,0,0
