Fingerprint,Features,Pairs_r09,Pairs_r095,Pairs_r10,Max_abs_r,Pct_collinear
MACCS,114,38,18,4,1.0,0.5899705014749262
PubChem,309,578,389,66,1.0,1.2146429622157777
Substructure,41,7,4,4,1.0,0.853658536585366
SubstructureCount,43,8,5,4,1.0,0.8859357696566998
KR,172,199,75,7,1.0,1.353189174486604
KR_Count,173,318,139,7,1.0,2.137384056996908
AtomPairs2D,518,2,0,0,0.9016424256170015,0.0014936185148951106
AP2D_Count,455,2,0,0,0.9380717884528524,0.0019363896015878394
CDK_FP,1022,13,1,0,0.9562008734620003,0.0024917054957439757
CDK_Extended,882,14,3,0,0.9762862494904601,0.003603408824748212
CDK_GraphOnly,34,112,69,43,1.0,19.964349376114082
EState,25,2,1,0,0.9895781546864548,0.6666666666666667
