Model,R2_train,RMSE_train,MAE_train,R2_CV,RMSE_CV,MAE_CV,R2_test,RMSE_test,MAE_test,Time_s
Random Forest,0.7970792096672009,0.5644782340766575,0.38674281723658266,0.5311032409033516,0.8580696543327885,0.6527121007709951,0.5793758405294172,0.8394065311528842,0.6318529258178321,32.058106899261475
XGBoost,0.8137231587750458,0.5408332206931854,0.33155516258951995,0.5109244183079122,0.8763385526310012,0.6566961370145794,0.5778967269162145,0.8408811112745572,0.622168644371996,13.150003671646118
Hist Gradient Boosting,0.7842292338075334,0.5820767194923709,0.4003438611898396,0.5268650334291455,0.8619388391716364,0.6510372686658543,0.5700735631665613,0.8486376839770231,0.634013968813285,41.48637509346008
KNN,0.6315638378042432,0.7606152924569302,0.5698085024053546,0.4494723153323784,0.9297656765402388,0.7063582618699018,0.5196963629197833,0.8969808573944541,0.6780129350420907,0.4390885829925537
MLP,0.7080748829736128,0.6770483115828951,0.4921656476291895,0.4809660673192976,0.9027797388996288,0.6926240797469384,0.5156775307687907,0.9007256825365123,0.678907149133348,59.79238963127136
Gradient Boosting,0.6474320893680536,0.7440554787063594,0.5635866129979189,0.4970142121794955,0.8887135153738381,0.6865913383831433,0.5124743920974604,0.9036993156196662,0.6890760418881668,49.06674933433533
SVR (RBF),0.5841579796900589,0.8080683817775574,0.5720442112863565,0.4647627603571105,0.9167630251526373,0.6928357010412675,0.48254713963138707,0.9310234784723033,0.6905183195885573,7.837705373764038
Extra Trees,0.8240701730198966,0.5255979536572523,0.2799260095976967,0.39747546629480435,0.9726829327028463,0.7171093665897567,0.45385847685410596,0.9564842778548155,0.7054341141000718,42.178478717803955
Decision Tree,0.8240701730198966,0.5255979536572523,0.27992600959767944,0.3836438419590209,0.983784096416035,0.7244612076170277,0.44811027019294414,0.961504659694683,0.7067190602930596,0.42315125465393066
Kernel Ridge (RBF),0.42682664630049993,0.9486956822868322,0.7524851935621051,0.37868320449948534,0.9877350719497668,0.7852068581424226,0.3816582358086513,1.01774628900162,0.7993953272245462,4.294786691665649
Ridge,0.39049424348592554,0.978301757537763,0.7747338220490859,0.3397545837640491,1.018208282169682,0.8066023042960153,0.3471035938941517,1.0457969626182944,0.8276141639368694,0.06638050079345703
PLS,0.37846430422591537,0.9879090543998664,0.7831728843000918,0.3356954856510628,1.0213333886655431,0.8108661359991416,0.3457314349570534,1.0468953347797618,0.82782468262775,0.3545408248901367
Bayesian Ridge,0.38138912349330434,0.9855818648481747,0.7837179298597027,0.3410188681280142,1.0172329466164791,0.8097651878271959,0.3396590087962502,1.0517423596458904,0.8333423999197325,0.6613688468933105
AdaBoost,0.2705434568323566,1.070246065699041,0.8780882827902805,0.2601351726344898,1.077854449262535,0.8855222548388714,0.2632165508534956,1.1109516744180843,0.9032135973451448,3.0316240787506104
ElasticNet,0.1497994079282956,1.1554326336147172,0.941565970114183,0.14485577416040085,1.1587869928643983,0.9438827904389593,0.13637587152775488,1.2027839406443799,0.9608032560512668,0.07924556732177734
Lasso,0.06391290719147102,1.2123891927724857,0.9920601433237535,0.05917659126133745,1.2154524830843725,0.9941094937271663,0.05549786748050456,1.2578437858221232,1.0054552425389796,0.07253813743591309
