Split,Fingerprint,Model,R2_train,RMSE_train,MAE_train,R2_CV,RMSE_CV,MAE_CV,R2_test,RMSE_test,MAE_test,Time_s
Random,MACCS,Ridge,0.3886788325593502,0.9797576085939209,0.7768456414853114,0.336554293560838,1.0206729890719382,0.8080685924250969,0.34814790780632343,1.0449602468859542,0.826434530179814,0.20923089981079102
Random,MACCS,Lasso,0.06391057619332408,1.2123907022875853,0.9920600611164689,0.06047424136162338,1.2146139748931661,0.9935899514310207,0.05549454274904553,1.25784599968114,1.0054565315090813,0.6611969470977783
Random,MACCS,ElasticNet,0.14978418564188134,1.1554429772018184,0.9415804263786286,0.14612361305088595,1.1579276640411174,0.9432484110799834,0.1363615835836678,1.202793890134006,0.9608170843288547,0.4862053394317627
Random,MACCS,Bayesian Ridge,0.3808527022594437,0.9860090901836362,0.78436420692713,0.3383323485049362,1.019304353924046,0.8110396395689075,0.3404730226478394,1.0510939091743297,0.8323875455886279,0.6089870929718018
Random,MACCS,PLS,0.3793858797740728,0.9871763768009368,0.7830681568819421,0.33179693850865033,1.0243259105943352,0.8122801191870472,0.3468944771580512,1.0459644288019128,0.8285516479104693,0.27698230743408203
Random,MACCS,KNN,0.6256506996360625,0.766694664189532,0.574791212245343,0.4404144918438532,0.9373831818497287,0.71663577872693,0.526365363645529,0.8907318142888393,0.6752136735073778,0.3980746269226074
Random,MACCS,SVR (RBF),0.5878577119589425,0.80446567216486,0.5687727882116898,0.4609608154408713,0.9200132799496725,0.6986571595968499,0.48383986293373016,0.9298597894948373,0.6890132130331572,2.138188600540161
Random,MACCS,Kernel Ridge (RBF),0.42984339553191375,0.9461957817653623,0.7504427774040757,0.3756337304741122,0.9901560475573908,0.7883573413255506,0.3849878627618213,1.015002426418412,0.7974168299869313,8.242177486419678
Random,MACCS,Decision Tree,0.8239974326280703,0.525706599958648,0.28021517504423876,0.3285922105555843,1.0267793259598437,0.7546297360328311,0.44979990102760425,0.9600316903912591,0.703323428513523,0.3799729347229004
Random,MACCS,Random Forest,0.7853570496914052,0.5805534930926375,0.40815434246526,0.5188391563970964,0.8692187115003704,0.6669953836834531,0.5741136530392337,0.8446408777754411,0.6392424999751821,10.627936124801636
Random,MACCS,Extra Trees,0.8239974326280703,0.525706599958648,0.2802151750442453,0.3576312805691516,1.0043292706498723,0.7400250961669491,0.46607238348906854,0.9457283965971992,0.6966362955508403,25.215887784957886
Random,MACCS,Gradient Boosting,0.5727732139604159,0.8190551868242467,0.6353293732649071,0.4675009456242867,0.9144150142247593,0.7162207128470938,0.47776085266057,0.9353194141592006,0.7246813593587006,6.793329238891602
Random,MACCS,XGBoost,0.779400649202527,0.5885536303774518,0.4044290430861804,0.5046257534671901,0.881963556924702,0.6670990297959073,0.5767774771573698,0.8419952141186645,0.6307355338347169,2.051494836807251
Random,MACCS,Hist Gradient Boosting,0.7603545493231902,0.6134349590638163,0.4367043149674434,0.5093552882587287,0.8777432312006185,0.6691247555205587,0.566635331481804,0.8520243128405016,0.6383130154439218,9.957403659820557
