Model,R2,RMSE,MAE
Ridge,0.383208436032758,0.983903988735572,0.7466181460651656
Lasso,0.284660038172373,1.0595946387886317,0.8473683780094016
ElasticNet,0.3446774332825589,1.0141707258635586,0.8044753743465731
Bayesian Ridge,0.4611020713288869,0.9196800501613944,0.7191979473218602
PLS,0.437259467247903,0.9398046885796182,0.731657205610027
KNN,0.5333598921634695,0.8558044502780507,0.6475429656573245
SVR (RBF),0.5136069958988365,0.8737298406855862,0.6588358892690338
Kernel Ridge (RBF),-0.1480619334689914,1.3423512366556745,0.9485507814017236
Decision Tree,0.2718134627622078,1.0690667720773444,0.7910521584896585
Random Forest,0.6070260143871362,0.7853539084643558,0.6029243629913367
Extra Trees,0.5897317030775846,0.8024490882423971,0.6046387488576243
Gradient Boosting,0.5945190174992134,0.7977535651240333,0.6065350167025283
XGBoost,0.5916798632184452,0.8005416052700914,0.6053282522877688
Hist Gradient Boosting,0.5997117410993771,0.7926289573705282,0.5983183961758868
AdaBoost,0.3357372229204133,1.021065181776403,0.845308603084481
MLP,0.4882382228645328,0.8962257785352152,0.6819523551478989
