Model,R2,RMSE,MAE
Ridge,0.6197799928191519,0.7725044529280753,0.6010223339336775
Lasso,0.3044458093697346,1.0448380847179497,0.8350689076446123
ElasticNet,0.3732553690293622,0.991810769572422,0.786787504960391
Bayesian Ridge,0.5609502898725239,0.8301190034206285,0.6493268718669024
PLS,0.543790100655464,0.8461860493621988,0.6598058019037575
KNN,0.7115367654512305,0.6728662466832194,0.5062069608845237
SVR (RBF),0.6131199128466085,0.7792408244169704,0.5525944102458394
Kernel Ridge (RBF),0.5332900238942534,0.8558685160717159,0.6533366306574673
Decision Tree,0.963043342088338,0.240840684914033,0.0820535113035113
Random Forest,0.8938898101043573,0.4080957336120639,0.3077223618008759
Extra Trees,0.963043342088338,0.240840684914033,0.0820535113035425
Gradient Boosting,0.8372091385908967,0.5054736479352561,0.3794775456455439
XGBoost,0.9556773063080072,0.2637524982436456,0.1467159900977211
Hist Gradient Boosting,0.9538208813385972,0.2692193855242121,0.1559125161940077
AdaBoost,0.3823937016009633,0.9845536052015704,0.830123783385913
MLP,0.8101492312740032,0.5458705803023542,0.4013996206910177
