Model,R2,RMSE,MAE
Ridge,0.3486006397362857,1.0113642354535044,0.7645826102490623
Lasso,0.2514916343350289,1.0841322337412278,0.8641808599991203
ElasticNet,0.3243849521803261,1.029991367579153,0.8145926032581314
Bayesian Ridge,0.4347699060849077,0.9420990505728704,0.7383693838798375
PLS,0.4061388619172333,0.9656647556146272,0.75447078568087
KNN,0.48866809976856,0.8960564529458976,0.6807687306778123
SVR (RBF),0.4844613630297933,0.8997348391815729,0.678971588283638
Kernel Ridge (RBF),-0.2007385515811057,1.3731189323616129,0.9547825063482038
Decision Tree,0.3241422644563887,1.0301763426014765,0.7625205994794209
Random Forest,0.574497424939868,0.8174007356691315,0.6256579233563978
Extra Trees,0.5575752681141595,0.833496203668913,0.6165230358914937
Gradient Boosting,0.5867326734529896,0.8055629122274824,0.6115433326119735
XGBoost,0.5761233420867133,0.8158375278421072,0.6093482222085317
Hist Gradient Boosting,0.5742626608928285,0.8176261982801669,0.6132009933123875
AdaBoost,0.3156016030160457,1.0366649609499732,0.8525387089090674
MLP,0.4760856616679767,0.9070141659554356,0.6882743580331532
