Model,R2,RMSE,MAE
Ridge,0.6014609391841013,0.7910781229963797,0.615343990766993
Lasso,0.2708929940208585,1.0699896175056738,0.8525625542245266
ElasticNet,0.3524358776325578,1.008382540293972,0.7969620424516112
Bayesian Ridge,0.5378570381658401,0.8518675980707507,0.6663798968629557
PLS,0.5188083478478644,0.8692465389297719,0.6803551323762601
KNN,0.6770088534124732,0.7121627221683438,0.5353596527650418
SVR (RBF),0.5842145736978421,0.8080133928849875,0.5741939556570239
Kernel Ridge (RBF),0.5023575084257099,0.8839804408238207,0.6718273310937644
Decision Tree,0.912357658069214,0.3709718150440218,0.1595079568430593
Random Forest,0.8548315769845718,0.4774413257776456,0.3511546798434906
Extra Trees,0.912357658069214,0.3709718150440218,0.1595079568430847
Gradient Boosting,0.8084778620498895,0.5483949141282831,0.4051845102504937
XGBoost,0.907080848967646,0.381976411568441,0.2078748662915762
Hist Gradient Boosting,0.9062589981876104,0.3836619441255169,0.212727236164449
AdaBoost,0.3627379825966835,1.0003291970633754,0.8369923652682965
MLP,0.8053701373249453,0.5528262620013021,0.3883040626440505
