Model,R2,RMSE,MAE
Ridge,0.4006614917755591,0.9698835645130331,0.7528762596177617
Lasso,0.095377103833576,1.191563788148636,0.9763262186408216
ElasticNet,0.2065385098749009,1.1159543654165769,0.9120826641603867
Bayesian Ridge,0.4633907458476602,0.917725052989775,0.7160692173417456
PLS,0.4398392169200908,0.9376480589486068,0.7305064763696303
KNN,0.5553149960254751,0.835429392325072,0.6290914980065885
SVR (RBF),0.5751114381963917,0.8166219112755897,0.6174875461372864
Kernel Ridge (RBF),0.4765397142156334,0.906411438752533,0.7148271445208689
Decision Tree,0.167890107619822,1.142809524278331,0.8457907647907649
Random Forest,0.5821359988070234,0.8098432894487206,0.6286743207833353
Extra Trees,0.2495418562010356,1.0852923607111176,0.8098020256132772
Gradient Boosting,0.5824045504246446,0.8095830137619835,0.6220755841855553
XGBoost,0.5653760848653664,0.8259244417463845,0.6259424614525575
Hist Gradient Boosting,0.5781601340689508,0.8136868900458112,0.6202553946713713
AdaBoost,0.3076080763770198,1.0424602534868077,0.8690820277803819
MLP,0.539036873642435,0.8505828106648499,0.6545638597856753
