Model,R2,RMSE,MAE
Ridge,0.6148473667411412,0.7774991884132315,0.6060290921808952
Lasso,0.1022858117597041,1.187005013422659,0.9728941971213272
ElasticNet,0.2189558982631387,1.1071877884756929,0.9052662092642808
Bayesian Ridge,0.5794314484385552,0.8124598457484885,0.6336625006695445
PLS,0.5910667188277023,0.8011424370946754,0.6240483691004632
KNN,0.7170393692001771,0.6664176888753554,0.4996018088576081
SVR (RBF),0.7608109676142011,0.612708830605313,0.4008614066519836
Kernel Ridge (RBF),0.5660700308116315,0.8252648187239316,0.6491682847991824
Decision Tree,0.963043342088338,0.240840684914033,0.0820535113035113
Random Forest,0.9092865431136846,0.3773282898536262,0.28469770419913
Extra Trees,0.963043342088338,0.240840684914033,0.0820535113035425
Gradient Boosting,0.8328879732858743,0.5121384253047742,0.3871654881790855
XGBoost,0.9620911043390004,0.2439237427219898,0.1043142649493233
Hist Gradient Boosting,0.9559880843493416,0.2628261931298685,0.1448700386686963
AdaBoost,0.3556719995465144,1.005627198854125,0.853973662432869
MLP,0.7229981510214554,0.6593634091223091,0.5026708074911905
