Model,R2,RMSE,MAE
Ridge,0.357915901727146,1.004106746558635,0.7841978471415949
Lasso,0.0516584564543219,1.2202991699145398,0.9966691404425232
ElasticNet,0.1653911377039024,1.1447889370915862,0.9310760644133316
Bayesian Ridge,0.4343369292391892,0.942459814263136,0.741722338987429
PLS,0.4062781321904587,0.9655515167852128,0.7556791205877309
KNN,0.495519335710991,0.8900331662742798,0.6721687115632216
SVR (RBF),0.5429395152308492,0.8471703857080352,0.6373261511097275
Kernel Ridge (RBF),0.4496171026022287,0.9296434055901334,0.7344643619184059
Decision Tree,0.2393968008263338,1.0928561530103011,0.8025629851379301
Random Forest,0.5499901374173173,0.8406107583509854,0.646219472404405
Extra Trees,0.2866639663424135,1.0583541308280828,0.7797233741488313
Gradient Boosting,0.5574607363606161,0.8336040814587177,0.6398097715173147
XGBoost,0.5392078302893337,0.8506217302259085,0.6366401224067203
Hist Gradient Boosting,0.5477490324003642,0.8427013317543565,0.6337055683275795
AdaBoost,0.2809173696025209,1.0626086015604526,0.8745553391297116
MLP,0.5339998387309437,0.8554151967661335,0.6589012839607487
