Model,R2,RMSE,MAE
Ridge,0.5915251381040884,0.8008784266884627,0.6270886386764487
Lasso,0.0554247502731645,1.2178735788706008,0.9945840521157306
ElasticNet,0.1772672576028159,1.136614830911952,0.924914538301634
Bayesian Ridge,0.5519412878876356,0.8387864207920113,0.6587478007558815
PLS,0.5610618152545463,0.8302055063730788,0.6518990251462656
KNN,0.6869245523607359,0.701145955203563,0.5255638705203534
SVR (RBF),0.7223505590217767,0.6602863657122253,0.433736320234098
Kernel Ridge (RBF),0.5384578187685456,0.8513137088975745,0.6710047672426742
Decision Tree,0.912357658069214,0.3709718150440218,0.1595079568430593
Random Forest,0.8637050371406677,0.4626193890336724,0.3345916477127703
Extra Trees,0.912357658069214,0.3709718150440218,0.1595079568430847
Gradient Boosting,0.8018722993198791,0.5577717670501748,0.4124805072062489
XGBoost,0.911849027325672,0.3720467218534147,0.1735431932109773
Hist Gradient Boosting,0.9074142563258216,0.381290502414168,0.2066907129154005
AdaBoost,0.3408275868767143,1.017380571080679,0.8509923850846034
MLP,0.8247169222030507,0.5246309685832822,0.3637032833104685
