Model,R2,RMSE,MAE
Ridge,0.3030747382606911,1.045867366166631,0.8022949871838007
Lasso,0.0539603621401145,1.2185354693496715,0.9916509717250456
ElasticNet,0.2175368733630719,1.1081931184352762,0.9007150030626936
Bayesian Ridge,0.4903194783545896,0.8944015165279454,0.6984377378291267
PLS,0.4637565084414463,0.9174122306593068,0.7133343517302345
KNN,0.5424137179815494,0.8474615572879314,0.6377523960982336
SVR (RBF),0.5576645412021881,0.8332194248995454,0.6296950679685475
Kernel Ridge (RBF),0.4678890090116534,0.9138704263911837,0.7232504267809365
Decision Tree,0.2234640529387671,1.1039878429429562,0.8040928717446575
Random Forest,0.5689519303923382,0.8225197993329876,0.6346522477944921
Extra Trees,0.2970154283773472,1.0504040933051109,0.7730980383512003
Gradient Boosting,0.5769682657715076,0.8148355765828966,0.6244046839980516
XGBoost,0.560208441791006,0.8308200200273514,0.6289350673497555
Hist Gradient Boosting,0.569980573645996,0.821537791905495,0.6200359879721894
AdaBoost,0.2996496493855105,1.0484342111561606,0.8683372082859749
MLP,0.5179985899932553,0.8697764868934622,0.6719876334998629
