Model,R2,RMSE,MAE
Ridge,0.7119499034018733,0.6723842334601126,0.5233284914269936
Lasso,0.0564959687091952,1.216901394257682,0.990581420577794
ElasticNet,0.2370945866420859,1.0942557991955992,0.8896829530593007
Bayesian Ridge,0.6428033738462124,0.7487505988196786,0.5838153192296287
PLS,0.6411715200505003,0.750458984464961,0.5826661220799112
KNN,0.7064821090384442,0.6787358641165651,0.5061060734483243
SVR (RBF),0.7531266554234394,0.6224731297822771,0.4106757900688498
Kernel Ridge (RBF),0.5614672399702577,0.8296301561647471,0.655456954253378
Decision Tree,0.9567006486029466,0.2606898991671809,0.0904467979110836
Random Forest,0.9055370998366206,0.3850473564981507,0.287848223725668
Extra Trees,0.9567006486029466,0.2606898991671809,0.0904467979111141
Gradient Boosting,0.8357753409012958,0.5076947742019011,0.3827422691121603
XGBoost,0.954765275559994,0.2664523059892492,0.1166534302318365
Hist Gradient Boosting,0.9460719166996752,0.2909316708263202,0.1612005540378808
AdaBoost,0.3743968470406208,0.9909071749658276,0.8405813968291977
MLP,0.7786775429543686,0.5893811612549711,0.4471871192876166
