Model,R2,RMSE,MAE
Ridge,0.2677569063824374,1.0722883065921915,0.8262737072186184
Lasso,0.0469118110409644,1.2233492828355494,0.9952643020108332
ElasticNet,0.1959148508271945,1.1236600706572049,0.9077997060132262
Bayesian Ridge,0.4703508754766214,0.9119647611831262,0.7094052463395322
PLS,0.4381617156389713,0.939268142621042,0.7318278314789407
KNN,0.4786018916381239,0.9048334629876637,0.674271358346703
SVR (RBF),0.5306870897439109,0.8584503431306217,0.6448385972208054
Kernel Ridge (RBF),0.4444222566785328,0.9340203694755506,0.7372500238777974
Decision Tree,0.2313583836497517,1.0986158874881335,0.7991639163910378
Random Forest,0.5411991418024454,0.8487817610211317,0.6522763143659245
Extra Trees,0.2675432435188128,1.0724447378932536,0.7851708939539322
Gradient Boosting,0.5476809704789385,0.8427647409211052,0.6433163587546419
XGBoost,0.5237675628176407,0.864755662081821,0.6464591838396103
Hist Gradient Boosting,0.539888936904984,0.8499928367931306,0.634935458574286
AdaBoost,0.293265644719863,1.053445396475621,0.8686535386120848
MLP,0.4701629587736634,0.9121265269685328,0.7047060287357632
