Model,R2,RMSE,MAE
Ridge,0.7057546662932743,0.6797335717184745,0.527484966670969
Lasso,0.0518821140518478,1.2201552632828423,0.9927026235712362
ElasticNet,0.2101956040732783,1.1136371269246108,0.9002194393744141
Bayesian Ridge,0.624287235645969,0.7680896319845647,0.5967281543237598
PLS,0.6150339068786653,0.7774906369852159,0.6049026957440036
KNN,0.6613938942847988,0.729174244602338,0.5363312657828413
SVR (RBF),0.7107477279654546,0.6739416818343326,0.4472296843535064
Kernel Ridge (RBF),0.5353475738013562,0.8541773132525075,0.6726142293754225
Decision Tree,0.9026421200994568,0.3909934498342617,0.1704891601233109
Random Forest,0.8595435635884446,0.4696288307985244,0.3348237544726454
Extra Trees,0.9026421200994568,0.3909934498342617,0.1704891601233357
Gradient Boosting,0.8026521361850635,0.5566729811557722,0.4105008762351814
XGBoost,0.901489825031029,0.3933004769918676,0.1876143403214523
Hist Gradient Boosting,0.8947964024305448,0.4064426025154664,0.2228945330619456
AdaBoost,0.3384217005316303,1.0192355278414846,0.849316085074766
MLP,0.7239900113936848,0.6583340643379295,0.5001016759105136
