Model,R2,RMSE,MAE
Ridge,0.2776557588149612,1.0647695333805225,0.7930360820601913
Lasso,0.1218830112798504,1.1739772969474185,0.9569759611957288
ElasticNet,0.284215678560703,1.0599236907010097,0.8624240269447646
Bayesian Ridge,0.526651670457603,0.8619338427058739,0.6614401212190424
PLS,0.4937789854750343,0.891360928643711,0.6846128434252202
KNN,0.5457589064644878,0.8443581875491589,0.6348074028983949
SVR (RBF),0.5884584438474969,0.803693315760678,0.599365398840012
Kernel Ridge (RBF),0.5195624908571366,0.8683643028976964,0.6755388418526521
Decision Tree,0.3182923197795908,1.034385924158231,0.7543393453838528
Random Forest,0.5989787626556327,0.7933543274107575,0.6079124540101455
Extra Trees,0.3707794385215245,0.9937678937005135,0.7262257601151967
Gradient Boosting,0.6008606965004392,0.7914905905340608,0.5996894314303979
XGBoost,0.5721341480094981,0.8194780437720792,0.6114897091284345
Hist Gradient Boosting,0.5918403740909457,0.8003842431290072,0.6010685565429181
AdaBoost,0.3643122056986229,0.9988618931675736,0.8196711594133989
MLP,0.5548797771083553,0.8358381150749107,0.6345323855598252
