Model,R2,RMSE,MAE
Ridge,0.7725343161378083,0.5975048738015049,0.458325211988039
Lasso,0.1286724395909048,1.1694300091168892,0.9531417789532624
ElasticNet,0.3086742792181099,1.0416573106296287,0.8473775249731662
Bayesian Ridge,0.6865729441582188,0.7013773716313222,0.5388946989673213
PLS,0.6594991973721684,0.7310424204182026,0.5643048869654733
KNN,0.706254769786621,0.6789986648547907,0.503106194339732
SVR (RBF),0.77117190909227,0.5992915818912739,0.3903956567054187
Kernel Ridge (RBF),0.6208070925465302,0.7714603525938059,0.5985224665021193
Decision Tree,0.9513175228090625,0.2764202421982358,0.0956271774703147
Random Forest,0.9090236267094426,0.3778747028230732,0.2699291442038062
Extra Trees,0.9513175228090625,0.2764202421982358,0.095627177470345
Gradient Boosting,0.8334909454539631,0.5112136436373437,0.3800972141677128
XGBoost,0.949379646076273,0.2818682098585672,0.1244067150765511
Hist Gradient Boosting,0.9396125317773492,0.3078625906481833,0.170552801624693
AdaBoost,0.4197566878049968,0.9543080348527896,0.7959313485210976
MLP,0.8229847450295474,0.5270949509567018,0.3857250357385207
