Model,R2,RMSE,MAE
Ridge,0.1762781129182541,1.137297883100851,0.8383175990604285
Lasso,0.1141911063693182,1.1793805087903055,0.9567361551367372
ElasticNet,0.2498947945988733,1.0852880411987458,0.8765712690703132
Bayesian Ridge,0.494205725150481,0.891191185748866,0.6822350195933775
PLS,0.4577827181953411,0.9227214268727032,0.7069400117459727
KNN,0.4871302667474961,0.8974028882869516,0.67132474400493
SVR (RBF),0.551420476088638,0.8392737709773506,0.6255823948559698
Kernel Ridge (RBF),0.4862581280383261,0.898165584249307,0.6988081546425335
Decision Tree,0.3549725398949058,1.0064055655307238,0.7360987754317194
Random Forest,0.5701367440823497,0.8215785457698548,0.6296150898959675
Extra Trees,0.3930476725129384,0.9762503857147092,0.7167525575851376
Gradient Boosting,0.5689618740506028,0.8227005181212398,0.6202855887568195
XGBoost,0.5448436888900293,0.8454038326429084,0.6318841235101917
Hist Gradient Boosting,0.5618939872400759,0.8294181500299459,0.6219298747476106
AdaBoost,0.3476823703063563,1.012076838083467,0.8237112189983171
MLP,0.5101660850272454,0.8770176902815595,0.6671295495273628
