Model,R2,RMSE,MAE
Ridge,0.7509717555810249,0.6253285126818892,0.4767078700585238
Lasso,0.1173721539092553,1.1772609547158774,0.9551374347118672
ElasticNet,0.2676796244834888,1.0723448904581778,0.8657756452505236
Bayesian Ridge,0.6512242845875148,0.7400431567308885,0.5661306863881335
PLS,0.6258545557135993,0.7664858797058306,0.5884761818251422
KNN,0.6598786171463689,0.7308039666925982,0.5398258718777043
SVR (RBF),0.7258885615813662,0.6560659633994096,0.4307954914480923
Kernel Ridge (RBF),0.5844226929424075,0.8078111441109179,0.6265316972458894
Decision Tree,0.8971293625272969,0.4019107693625748,0.175377991799995
Random Forest,0.8599940145531481,0.4688751642292836,0.3238647070127177
Extra Trees,0.8971293625272969,0.4019107693625749,0.1753779918000199
Gradient Boosting,0.7956297667875998,0.5664906525873726,0.4129735563713086
XGBoost,0.8960834189698015,0.4039488282223131,0.1935875927049362
Hist Gradient Boosting,0.8889280541004598,0.417624643701587,0.2302513122582309
AdaBoost,0.4032613241291566,0.9680014793907956,0.8017719024071813
MLP,0.7865788347155078,0.5788988293201022,0.4140129573330722
