Model,R2,RMSE,MAE
Ridge,0.1751932438885254,1.137783453052437,0.9232932900290696
Lasso,0.0301228940612756,1.233791751882577,1.008812664704004
ElasticNet,0.0829635353367963,1.1997114705509213,0.9819915992113878
Bayesian Ridge,0.1750927161535027,1.137852787661856,0.9241763183539622
PLS,0.1751512549461406,1.1378124136031955,0.9230231129010368
KNN,-0.0695871596260517,1.295661633780814,1.0469095178625227
SVR (RBF),0.2068999699138022,1.1157001509003186,0.8840812684596302
Kernel Ridge (RBF),0.1984074364099269,1.1216577164670052,0.9068913483611364
Decision Tree,0.2202191068180206,1.10629208038114,0.8820326189543624
Random Forest,0.2238505822703135,1.103713047681122,0.8800638074273958
Extra Trees,0.2205940462285369,1.1060260810620277,0.8816279868103405
Gradient Boosting,0.2169911340999949,1.1085795130513536,0.8866016395534868
XGBoost,0.2205152160679433,1.106082012126383,0.8814960100500558
Hist Gradient Boosting,0.2224878898793392,1.1046815221530053,0.8806098201800299
AdaBoost,0.1438721915402475,1.159185154573677,0.9521671147766324
MLP,0.2145728730426527,1.1102900734841126,0.8918746322445598
