Model,R2,RMSE,MAE
Ridge,0.1827053272938362,1.132590312719289,0.918743367691462
Lasso,0.0310261533675282,1.2332170948112486,1.00839782438558
ElasticNet,0.0850281387922188,1.198360202501362,0.9808284108610096
Bayesian Ridge,0.1815606613983063,1.1333831625521262,0.92023835427237
PLS,0.181940497725953,1.1331201314158152,0.9190008261562548
KNN,0.0220412210912661,1.2389214822324954,1.003301559655124
SVR (RBF),0.2294929425413786,1.0996939078684491,0.865656704914117
Kernel Ridge (RBF),0.2100544024740983,1.1134791780125737,0.8996796741124414
Decision Tree,0.2545595892802323,1.0816580202807695,0.85800637471406
Random Forest,0.2535562806771414,1.0823856920468986,0.8607642672310776
Extra Trees,0.2545595892802323,1.0816580202807695,0.8580063747140617
Gradient Boosting,0.2456255520225075,1.0881205026377756,0.8678408389766484
XGBoost,0.2545510170680494,1.081664239540733,0.8580719173898371
Hist Gradient Boosting,0.2529357819193061,1.0828354777730542,0.8614251249560807
AdaBoost,0.1320537182476028,1.1671587551626168,0.9605294468314924
MLP,0.2352941611357237,1.095546237716701,0.8771603994713545
