Model,R2,RMSE,MAE
Ridge,0.1441375924868917,1.1592734867784025,0.936421970728675
Lasso,0.0345058560226375,1.231285456844192,1.005390983159461
ElasticNet,0.0663808349639991,1.2107899485916136,0.9867250167978596
Bayesian Ridge,0.1446907580303803,1.1588987923219582,0.9370381529274856
PLS,0.1445540474491242,1.1589914064253315,0.935901487455406
KNN,-0.1732181487339716,1.3572920776301498,1.086347560197516
SVR (RBF),0.1693547827246898,1.1420673405953867,0.9059646190603948
Kernel Ridge (RBF),0.1645591511918823,1.1453593909604192,0.9227426311461574
Decision Tree,0.1787749391835587,1.1355729135573949,0.9028195445084868
Random Forest,0.1829629070124018,1.13267369522326,0.901194813919227
Extra Trees,0.1799032277323606,1.1347925584756908,0.9018677394440364
Gradient Boosting,0.1791212534111419,1.135333450257786,0.9051699584808934
XGBoost,0.1821711893128634,1.1332223488175786,0.9007019630682266
Hist Gradient Boosting,0.1819159141442177,1.1333991957028189,0.902147082952175
AdaBoost,0.1287164341997803,1.1696709102075231,0.9501920354799092
MLP,0.1694817163148263,1.1419800757539502,0.9145333947037616
