Model,R2,RMSE,MAE
Ridge,0.1544397418173962,1.152275185191859,0.9308670888206062
Lasso,0.0353390227693183,1.2307540773861505,1.0049832286607316
ElasticNet,0.06830149963506,1.209543873731795,0.9858799250814227
Bayesian Ridge,0.1530385602413727,1.1532295101083203,0.932682490878081
PLS,0.1535227508179926,1.152899824090693,0.9311609832921036
KNN,-0.1999564762086907,1.372671683700132,1.098057999123658
SVR (RBF),0.1915873710115049,1.126679708153071,0.88644722954369
Kernel Ridge (RBF),0.1771207385430623,1.1367160352969792,0.9149684647325366
Decision Tree,0.2136283854016056,1.1112143525571578,0.8802238100561876
Random Forest,0.2129452738090286,1.1116968970767471,0.882291412477853
Extra Trees,0.2136283854016056,1.1112143525571578,0.8802238100561869
Gradient Boosting,0.2067086161914473,1.1160927744842524,0.886911461394773
XGBoost,0.2136218934673891,1.1112189393933651,0.880258250668035
Hist Gradient Boosting,0.2124417854011517,1.112052423188718,0.8827549251466295
AdaBoost,0.1510699531327907,1.154568967867026,0.9358849575932724
MLP,0.1954455255117458,1.1239879496063054,0.8952335617620891
