Model,R2,RMSE,MAE
Ridge,0.2496301994352132,1.085228479027771,0.8725981470055739
Lasso,0.1274950054040708,1.1702198739647576,0.959237929508398
ElasticNet,0.1602776014321821,1.1480250842120707,0.9415214405463486
Bayesian Ridge,0.2498098491393733,1.085098561322132,0.8737897690708332
PLS,0.2495048723043921,1.085319102939394,0.8726281248910596
KNN,0.3447867878963723,1.01408610427354,0.7832633929149413
SVR (RBF),0.4154841587029009,0.9578150383969682,0.738588964109985
Kernel Ridge (RBF),0.3476544540927659,1.0118644996943793,0.8085048997748008
Decision Tree,0.3468559221791556,1.0124836186435346,0.7537529620047915
Random Forest,0.4261893295071777,0.949003509892573,0.7213222029187348
Extra Trees,0.3591995547544091,1.002870626026088,0.7502396798452443
Gradient Boosting,0.3954852033219953,0.9740628419241452,0.762478510491707
XGBoost,0.4003726195310678,0.97011727108013,0.7317478063279703
Hist Gradient Boosting,0.4278059073343511,0.9476657689313333,0.7241149152845486
AdaBoost,0.2437492001115881,1.0894729006349535,0.8980767239930028
MLP,0.4134987544608851,0.9594403476066784,0.7503964776634998
