Model,R2,RMSE,MAE
Ridge,0.26410063470342,1.0747135458349255,0.8642474280105524
Lasso,0.1309936476550008,1.1678712952950403,0.957662715660488
ElasticNet,0.1639602122085259,1.145504980584417,0.9399433883544972
Bayesian Ridge,0.2632375020886504,1.0753436241552703,0.8658476006162459
PLS,0.2637901925164153,1.0749402081071389,0.8644143640066911
KNN,0.5244594535237748,0.8639274731225492,0.6554734779727637
SVR (RBF),0.4984374510528905,0.8872501042394181,0.6575205835862593
Kernel Ridge (RBF),0.3800334940201832,0.98643306712054,0.7871973452434059
Decision Tree,0.6555215080792812,0.7352999970723189,0.4911857808116062
Random Forest,0.6390356682036856,0.752689146204318,0.543184103376307
Extra Trees,0.6555215080792812,0.7352999970723189,0.4911857808116133
Gradient Boosting,0.5071765073473464,0.8794865653813531,0.6863059707812584
XGBoost,0.6400365236206746,0.7516449212425715,0.5291901432819927
Hist Gradient Boosting,0.6114886578138432,0.7808819057953768,0.5775521959187537
AdaBoost,0.2611937420905863,1.076834078866499,0.8905340634790778
MLP,0.527334470842876,0.8613119527433363,0.6665143056977764
