Model,R2,RMSE,MAE
Ridge,0.2006459666894574,1.1203494704304051,0.8977722986979706
Lasso,0.0603704721903627,1.21468104916143,0.9939572171071812
ElasticNet,0.1098351949676094,1.1822767186617884,0.9671401544090328
Bayesian Ridge,0.2013195805008635,1.119877312972735,0.8987860299679373
PLS,0.199653401248142,1.1210448288904191,0.8978171489378781
KNN,0.2877105397319358,1.0575774619179052,0.809481116407097
SVR (RBF),0.3572077249791354,1.004660325980962,0.7690768503875802
Kernel Ridge (RBF),0.2967845326317478,1.0508195285830837,0.837649611681992
Decision Tree,0.3066262409961535,1.0434403541960675,0.7799625044473967
Random Forest,0.3831518588857621,0.984176652384432,0.745593014170749
Extra Trees,0.3131218719124878,1.038541299391898,0.7775675025587395
Gradient Boosting,0.3525530033083633,1.008291342508714,0.7864332597657275
XGBoost,0.3592624854250507,1.0030532837492423,0.7578759424322895
Hist Gradient Boosting,0.3775190016485278,0.98866003150887,0.755523848562558
AdaBoost,0.1919470173609012,1.126429061820692,0.9211909603503208
MLP,0.3492952604893332,1.0108248566856457,0.7846815334896009
