Model,R2,RMSE,MAE
Ridge,0.2162805965735161,1.1093388624809886,0.8884747306178371
Lasso,0.0633730042918817,1.2127387746057987,0.9925351416917556
ElasticNet,0.1132810027758332,1.1799862166857369,0.9652138520181408
Bayesian Ridge,0.2155585907149502,1.1098497371445173,0.8901737663847776
PLS,0.2159221175124616,1.1095925433823597,0.8883535285573634
KNN,0.4228355644627974,0.9519928992330938,0.7055019412551026
SVR (RBF),0.4357409947687241,0.9412894201078787,0.6937230329272189
Kernel Ridge (RBF),0.3292840066180723,1.026250210142898,0.8168603770992048
Decision Tree,0.59607961085432,0.7964010353343485,0.5357640203568019
Random Forest,0.5802413059750753,0.8118649229576521,0.5847682665289841
Extra Trees,0.59607961085432,0.7964010353343484,0.5357640203568091
Gradient Boosting,0.4568192359804137,0.9235408687554256,0.7134783899862405
XGBoost,0.5820870875643522,0.8100779721135705,0.5700638922905645
Hist Gradient Boosting,0.557427379829512,0.8336354974468593,0.6135475762421151
AdaBoost,0.2215389635533146,1.105611043293064,0.9071125599571352
MLP,0.5132706127756599,0.8742340390259887,0.6639119516134112
