Model,R2,RMSE,MAE
Ridge,0.3846434450465443,0.9827587612718468,0.7724627111378973
Lasso,0.0874674489821885,1.1967617253956095,0.9820013922791804
ElasticNet,0.1920543090778235,1.1260938668979388,0.9192867354291628
Bayesian Ridge,0.3958672119464366,0.973755025463762,0.7708497147709203
PLS,0.3720109164919678,0.9927949418283124,0.7827423773190749
KNN,0.4469077521358482,0.9317132986555786,0.7180784062481432
SVR (RBF),0.167197008748978,1.1432853719564438,0.91209647170026
Kernel Ridge (RBF),0.0496401109476146,1.221314625009247,0.8867075370461546
Decision Tree,0.2751848060642117,1.066589129155764,0.7791289009711628
Random Forest,0.5558640440133602,0.8349134850025203,0.6444783316121874
Extra Trees,0.4885739707896127,0.8959317400504194,0.6702072425101361
Gradient Boosting,0.5312159576571817,0.8577681542618506,0.6627819490548643
XGBoost,0.5583438497540645,0.8325793783605053,0.6324762169981071
Hist Gradient Boosting,0.5652359692091254,0.8260575632977718,0.629474112259087
AdaBoost,0.2392940649836182,1.0926772751046396,0.9134379269803083
MLP,0.4743190083410773,0.9083320647729444,0.6919739430944986
