Model,R2,RMSE,MAE
Ridge,0.4678265898642654,0.9139240254908532,0.7198527817519712
Lasso,0.1002354326390875,1.188359799949715,0.9759841638196254
ElasticNet,0.2099580684667673,1.1135470704355193,0.9093385953302278
Bayesian Ridge,0.4492654503616361,0.9297253438422338,0.7357073289615252
PLS,0.4170539995642851,0.9565279662536128,0.7537406130144476
KNN,0.6403273658380404,0.7513412039688179,0.5727861102261527
SVR (RBF),0.1918428595645692,1.126241213697064,0.8938803217063562
Kernel Ridge (RBF),0.4407022240312198,0.9369254906449742,0.7316858435592957
Decision Tree,0.941276116826728,0.3035923973575402,0.1202103375020041
Random Forest,0.8275349405325905,0.5202763321504916,0.3937849494205638
Extra Trees,0.941276116826728,0.3035923973575402,0.1202103375020321
Gradient Boosting,0.7269146190109506,0.6546855185063534,0.5010568036689796
XGBoost,0.8925975045895425,0.4105732917588999,0.2827911613562062
Hist Gradient Boosting,0.8759739544393329,0.4412045241567206,0.3127365900523355
AdaBoost,0.2525777214941623,1.083094942806738,0.9120145446865768
MLP,0.771987529906302,0.5982225893970677,0.4186800743642478
