Model,R2,RMSE,MAE
Ridge,0.3295198318281011,1.0260697783723811,0.7961455340160366
Lasso,0.0890422116758036,1.196005163183868,0.9776526077121304
ElasticNet,0.1771136370402712,1.1367209402539145,0.925420308942568
Bayesian Ridge,0.3780349082060917,0.9882502503901678,0.7823678285972697
PLS,0.3522417101184326,1.0085337071434222,0.7955985519360024
KNN,0.4208998837441988,0.9535879488625406,0.7350720623126465
SVR (RBF),0.1568313027358661,1.1506444985568736,0.914781820992666
Kernel Ridge (RBF),0.120532318067396,1.175151530034069,0.8688082124597926
Decision Tree,0.3173067266269047,1.0353727718775363,0.7611718739106185
Random Forest,0.5250294502087226,0.8636092176118475,0.6695068199545621
Extra Trees,0.4849547535759884,0.8993041954867196,0.6724831936891416
Gradient Boosting,0.5222330367876953,0.8661477583824013,0.6688113152401434
XGBoost,0.5435929369084899,0.8465646043079079,0.6385728720402207
Hist Gradient Boosting,0.5373538804203177,0.852331206967826,0.6487547326150198
AdaBoost,0.2463943078180771,1.0878174294246163,0.8991134554622782
MLP,0.4366645126277415,0.9405188045162262,0.716263835580414
