Model,R2,RMSE,MAE
Ridge,0.4401973045715401,0.9375650735740884,0.7390040370786838
Lasso,0.1025810811530568,1.1870842374860096,0.9709005393754536
ElasticNet,0.1935027478923306,1.1253441921341436,0.9166768453886326
Bayesian Ridge,0.4337842372190691,0.942920126126554,0.7468684088292002
PLS,0.3987171141588171,0.971680191349562,0.766619180030902
KNN,0.6275682237388235,0.7647285285870806,0.5836833682294621
SVR (RBF),0.1790261699456203,1.135399201937655,0.8986102906372527
Kernel Ridge (RBF),0.4521751709073391,0.9274804922764164,0.7268027565404983
Decision Tree,0.8990438246874475,0.3981533484384965,0.1862907690162448
Random Forest,0.7831262949804878,0.5835625016179249,0.4360922369997197
Extra Trees,0.8990438246874475,0.3981533484384965,0.1862907690162675
Gradient Boosting,0.7094143177417667,0.6754932815027114,0.5139696456134502
XGBoost,0.8612553830306836,0.4667582458777106,0.3144111140548772
Hist Gradient Boosting,0.8466178223925147,0.4907625083540202,0.3423869786871912
AdaBoost,0.2489754033050781,1.0859529471401994,0.9058063948194076
MLP,0.6609532987499722,0.7296484925102612,0.5405217305450836
