Model,R2,RMSE,MAE
Ridge,0.4114214222255857,0.961137969456034,0.7565275057739452
Lasso,0.0775362106278644,1.2032563776883918,0.991222443336131
ElasticNet,0.1525477881165468,1.1532968807430628,0.9508008751160484
Bayesian Ridge,0.4081431207034814,0.9638109555651764,0.7622934856855164
PLS,0.3936934944522402,0.9755052762434118,0.7713601245703429
KNN,0.4687712098843922,0.9131125471696264,0.7013209192634718
SVR (RBF),0.504418164389441,0.8819443830262226,0.6644970022250162
Kernel Ridge (RBF),0.4053678144793741,0.9660680402167552,0.7705182100357596
Decision Tree,0.3161292887882629,1.0360256569087465,0.7568158718929374
Random Forest,0.5423722557256527,0.847499951000117,0.6434618437961066
Extra Trees,0.3475076055539702,1.0119783829444815,0.7429551744693738
Gradient Boosting,0.5471373350245313,0.8430760801227948,0.6443572025783865
XGBoost,0.529895641016255,0.8589752444735055,0.6397773692021868
Hist Gradient Boosting,0.5535850383423233,0.8370528500418802,0.634779085333289
AdaBoost,0.2540514338239316,1.082026632430562,0.9028000020141416
MLP,0.5130133373293142,0.8742628860087979,0.6755610412436647
