Model,R2,RMSE,MAE
Ridge,0.4733743316058215,0.90914785897622,0.7158202698264
Lasso,0.0810686306799234,1.2009503338795795,0.989893591692724
ElasticNet,0.1600628559696939,1.1481718692795952,0.9474166525308187
Bayesian Ridge,0.4563721479225614,0.923707262522952,0.7298659191420583
PLS,0.4366398246286268,0.9403219632260494,0.7437464573977529
KNN,0.6504879394362977,0.7406526684743384,0.5629970557326134
SVR (RBF),0.616037397123453,0.776297115024986,0.5465292512894594
Kernel Ridge (RBF),0.4465055602562174,0.9320519938971497,0.7421148899375338
Decision Tree,0.8966722939806161,0.4027095256617966,0.1762633199420664
Random Forest,0.8079773145278163,0.5489841149717859,0.3981384144223843
Extra Trees,0.8966722939806161,0.4027095256617966,0.1762633199420906
Gradient Boosting,0.7030331205615064,0.6827119683039203,0.5176758806071636
XGBoost,0.8641753953469875,0.4617136705337147,0.2900469525093181
Hist Gradient Boosting,0.8204221330783329,0.5308965620007977,0.3743792842904187
AdaBoost,0.2727725886544886,1.0683624831133192,0.8974844668823236
MLP,0.7686642522117455,0.6025663608524967,0.4269955103004019
