Model,R2,RMSE,MAE
Ridge,0.3900042769252458,0.9786948948048162,0.7671375238870316
Lasso,0.0347436810539883,1.231133799509309,1.0086615822603286
ElasticNet,0.1168261122888494,1.1776250572592082,0.9659227348628971
Bayesian Ridge,0.3858797966024682,0.9819980388128804,0.7731403278674506
PLS,0.3671228944399156,0.996881692919562,0.784840492344333
KNN,0.4344084081109006,0.942400266366239,0.7209104171741095
SVR (RBF),0.4692346387762912,0.9129252392717568,0.6844755951727085
Kernel Ridge (RBF),0.3755470175290402,0.9902248023655,0.7881278433745834
Decision Tree,0.3445402252416635,1.0145114433668645,0.7447639255335163
Random Forest,0.519686588394405,0.8684529297710941,0.6642440696110048
Extra Trees,0.370826078066188,0.9939608635449894,0.7316891342137973
Gradient Boosting,0.5275341454638773,0.8613291424242606,0.65973602810101
XGBoost,0.5214390434492742,0.8668671782193299,0.6478189230256771
Hist Gradient Boosting,0.527689861372342,0.8611871917398751,0.6505731766468871
AdaBoost,0.2423581936747645,1.0907265716871228,0.9019015203895444
MLP,0.4838632327034471,0.9002566261547822,0.6932693695935264
