Model,R2,RMSE,MAE
Ridge,0.4581518078031595,0.9224073232125408,0.7237273848683301
Lasso,0.0388791829328467,1.2284936607968997,1.0068811391246524
ElasticNet,0.1231012709460813,1.1734339474691708,0.962577949201912
Bayesian Ridge,0.4404858204239191,0.9373234373234868,0.7379174991173616
PLS,0.4131938804304366,0.9599116113236472,0.7564061203709078
KNN,0.6227155601653935,0.769694485369502,0.5789646227224297
SVR (RBF),0.5742942493034305,0.8175958650338244,0.5762072869241466
Kernel Ridge (RBF),0.4193731242246671,0.9548441575083092,0.7590378310562512
Decision Tree,0.8464667404102728,0.4910041502590715,0.2453749439345156
Random Forest,0.7608901443273242,0.61274907815424,0.4442950606870408
Extra Trees,0.8464667404102728,0.4910041502590715,0.2453749439345358
Gradient Boosting,0.6797172301668797,0.7091705884440406,0.5358155999773097
XGBoost,0.8232963093765331,0.5267526607687741,0.3310804030138404
Hist Gradient Boosting,0.7836518782686385,0.5828549544565819,0.4081144334381713
AdaBoost,0.2637344067849916,1.075229523722562,0.889839263069516
MLP,0.7099975525446576,0.6748150494035703,0.4908180908159108
