Model,R2,RMSE,MAE
Ridge,0.3753984829792405,0.99011360013382,0.780725543867114
Lasso,0.1028029434971623,1.1866630747525284,0.9736854489470056
ElasticNet,0.1777630127804779,1.1360096306166874,0.9314089519864038
Bayesian Ridge,0.3762203522750696,0.9894619752109264,0.7859259426599514
PLS,0.3709473036586846,0.9936353248354904,0.7869945179115898
KNN,0.4844330814172507,0.8995514960013999,0.6791548960416462
SVR (RBF),0.5095224491825013,0.8773907992874928,0.6572342539370318
Kernel Ridge (RBF),0.4152870811443094,0.957976495048451,0.7609834835763293
Decision Tree,0.36581820753106,0.9976779945145328,0.7298145969770811
Random Forest,0.5557083730089647,0.8350597920422428,0.6356461483775108
Extra Trees,0.3940419712403984,0.9752248984130653,0.7137257221366432
Gradient Boosting,0.5311040152631719,0.8578705627062939,0.6591819947484533
XGBoost,0.5438329788457746,0.846146282821519,0.634206854842958
Hist Gradient Boosting,0.5575732994581346,0.8333053556925212,0.6278709144215671
AdaBoost,0.3131715156635046,1.0382636695904606,0.8581466906937384
MLP,0.5183865589463419,0.8694263694487268,0.6692007197560801
