Model,R2,RMSE,MAE
Ridge,0.4242881767479246,0.950574331753058,0.7495113769880335
Lasso,0.1075684897848133,1.1835073425892413,0.9714587299370776
ElasticNet,0.183575861165306,1.1319869679596517,0.9281032138662076
Bayesian Ridge,0.4163593575111336,0.9570976988949438,0.7592048156760299
PLS,0.4121531958389179,0.9605402972166877,0.7597922633113636
KNN,0.6598172819070314,0.7307008828681194,0.5460365863330322
SVR (RBF),0.6216282031438443,0.7706246334211319,0.5410800038865693
Kernel Ridge (RBF),0.463015176071633,0.9180461520976698,0.7275286256436719
Decision Tree,0.8747235028509277,0.4434230955312083,0.2187658329324996
Random Forest,0.8297787320446457,0.5168808226461395,0.3661195317163325
Extra Trees,0.8747235028509277,0.4434230955312083,0.2187658329325197
Gradient Boosting,0.682005578520537,0.7064692433817487,0.5375351067528183
XGBoost,0.859623194838902,0.4693871387058778,0.2878910277092784
Hist Gradient Boosting,0.825373958663639,0.5235257083780418,0.3634057206820479
AdaBoost,0.3280029128604887,1.026992338978423,0.8475209443352415
MLP,0.6935396034759826,0.6935386811112276,0.5197875145076845
