Model,R2,RMSE,MAE
Ridge,0.339757664675574,1.0182059065278268,0.8065999835546999
Lasso,0.059174061819179,1.2154541169800948,0.9941108750189928
ElasticNet,0.1448404055168198,1.158797405671809,0.9438953702479554
Bayesian Ridge,0.3410189091718411,1.0172329149379291,0.809765162344683
PLS,0.3356954856510628,1.0213333886655431,0.8108661359991418
KNN,0.4404205711418868,0.9373780900030596,0.7102140682950925
SVR (RBF),0.4647657896222769,0.916760430861712,0.6928383137632396
Kernel Ridge (RBF),0.378683204499486,0.9877350719497664,0.7852068581424227
Decision Tree,0.3836438419590209,0.983784096416035,0.7244612076170277
Random Forest,0.5327496982248217,0.8565618411480554,0.6535910534368337
Extra Trees,0.3974754662948043,0.9726829327028464,0.7171093665897567
Gradient Boosting,0.4970142121794955,0.8887135153738381,0.6865913383831433
XGBoost,0.5109244593238811,0.8763385158842519,0.6566961109211844
Hist Gradient Boosting,0.5268650334291455,0.8619388391716364,0.6510372686658543
AdaBoost,0.2601351726344898,1.077854449262535,0.8855222548388714
MLP,0.4820168458335311,0.901865442070403,0.6921253369352037
