Model,R2,RMSE,MAE
Ridge,0.3904941014105908,0.9783018715584594,0.7747331078405751
Lasso,0.063910576193324,1.2123907022875853,0.9920600611164688
ElasticNet,0.1497841848061069,1.155442977769727,0.941580426902242
Bayesian Ridge,0.3813890503979357,0.9855819230765944,0.7837179741922936
PLS,0.3784643042259152,0.9879090543998664,0.7831728843000918
KNN,0.6068905837232734,0.7856708699721797,0.5802899782550075
SVR (RBF),0.584149921541353,0.8080762110772939,0.5720420169095602
Kernel Ridge (RBF),0.4268266463004981,0.9486956822868338,0.7524851935621057
Decision Tree,0.8240701730198966,0.5255979536572523,0.2799260095976794
Random Forest,0.786409077281597,0.5791290146573341,0.4072715215916366
Extra Trees,0.8240701730198966,0.5255979536572523,0.2799260095976967
Gradient Boosting,0.6474320893680536,0.7440554787063594,0.5635866129979189
XGBoost,0.8137231789122297,0.5408331914601947,0.331555121224071
Hist Gradient Boosting,0.7842292338075334,0.5820767194923709,0.4003438611898396
AdaBoost,0.2705434568323566,1.070246065699041,0.8780882827902805
MLP,0.7079474041710674,0.6771961232691676,0.4924678720397646
