Model,R2,RMSE,MAE
Ridge,0.431247342511065,0.9448116247364244,0.7330376376562132
Lasso,0.1462532193790846,1.157572092945781,0.9514287007122214
ElasticNet,0.2411520315342338,1.0913420686358553,0.8951741488279201
Bayesian Ridge,0.428349624938927,0.9472154103629136,0.7401784712537771
PLS,0.3878470653743011,0.9801972427993044,0.7648233192701832
KNN,0.4972913266484056,0.8882632567678211,0.6734195295267806
SVR (RBF),0.5131636266094683,0.8741279721716128,0.6509902299625935
Kernel Ridge (RBF),0.4279483145086706,0.9475478344717138,0.7486771084175826
Decision Tree,0.3279532063413436,1.027030320743064,0.7349346035539731
Random Forest,0.5844080796276969,0.8076385799577478,0.6101036209521127
Extra Trees,0.370031632690443,0.9943582469104147,0.7199036217029133
Gradient Boosting,0.5666700428627723,0.8246940582757075,0.6290340497445474
XGBoost,0.5589469365730471,0.8320107355626742,0.6174074896293629
Hist Gradient Boosting,0.5872312735067466,0.8048906850715637,0.6021872629335012
AdaBoost,0.3021339873149913,1.0465730149354855,0.8669155862682629
MLP,0.5311316179325531,0.8578453120464642,0.6523691430841863
