Model,R2,RMSE,MAE
Ridge,0.5347508879832265,0.8545279752803648,0.6624829412561704
Lasso,0.150697652760791,1.1545551180718132,0.9493761651143252
ElasticNet,0.2479595853730946,1.086435877012749,0.8915310853473724
Bayesian Ridge,0.499184600026368,0.8865890151448945,0.6921228216450165
PLS,0.452345274708353,0.9271220886477022,0.7237812882310835
KNN,0.6729423315450301,0.7164661503377316,0.5349535897659992
SVR (RBF),0.6195147094711088,0.7727738980261294,0.5422290783240395
Kernel Ridge (RBF),0.476722535218167,0.9062531406697444,0.7149610038694941
Decision Tree,0.9016420916889382,0.3929055385587013,0.1795898518969406
Random Forest,0.8452906635045428,0.4927671752570381,0.3522366169373996
Extra Trees,0.9016420916889382,0.3929055385587013,0.1795898518969634
Gradient Boosting,0.7311130360852993,0.6496334551888595,0.4889429441148304
XGBoost,0.8833104155400144,0.4279564293068753,0.2623184893682864
Hist Gradient Boosting,0.8501769940294052,0.4849229759922069,0.3305765301187418
AdaBoost,0.3330389971126702,1.0231368561420977,0.8517963397404816
MLP,0.6911293215020198,0.6962606475897026,0.5212702101395073
