Model,R2,RMSE,MAE
Ridge,0.4031647457426093,0.9680798086851162,0.7512521081450827
Lasso,0.0861283556932289,1.1979164506549,0.9776531637964126
ElasticNet,0.1908381068051322,1.1272017096866076,0.9183283709582112
Bayesian Ridge,0.3944585420371422,0.9751150714479242,0.759788280001214
PLS,0.3538588280288025,1.0072740265580702,0.7875866644783392
KNN,0.4499905431771267,0.9293279656677604,0.7069861508789468
SVR (RBF),0.4695807413371993,0.9126275396552992,0.6807155800271315
Kernel Ridge (RBF),0.3822300544410525,0.984911743951745,0.7762962933077384
Decision Tree,0.3704325012120367,0.994271698766362,0.7183252313344534
Random Forest,0.5443648350107896,0.8458484254952792,0.637067523574244
Extra Trees,0.3811916122269428,0.985739191524738,0.7122732681888267
Gradient Boosting,0.5300161556525196,0.8590637482646754,0.6575483604216815
XGBoost,0.5339266167942444,0.8554823992076186,0.6340983120870998
Hist Gradient Boosting,0.5581845321395336,0.8329221012670898,0.6275514590714714
AdaBoost,0.269538180986107,1.0709832734932865,0.8808205682735052
MLP,0.506351537604077,0.8804259248266876,0.6730106567929897
