Model,R2,RMSE,MAE
Ridge,0.5036310447069327,0.882848601839957,0.6834088281540909
Lasso,0.0899294664828117,1.1954225786463222,0.9757081897865651
ElasticNet,0.1970606132773685,1.122859218612059,0.914738028449576
Bayesian Ridge,0.4652319120775873,0.916361151731725,0.7133273013596387
PLS,0.4168312979810545,0.9569318988779576,0.7477668891403328
KNN,0.6259937810077894,0.7663432558237626,0.5675860586185665
SVR (RBF),0.5736852854819179,0.8181804335705097,0.5735763749313647
Kernel Ridge (RBF),0.4321932276616764,0.9442439523600497,0.7427401176415093
Decision Tree,0.8488111792838157,0.4872409347045076,0.2498027185677571
Random Forest,0.7973717659299572,0.5640711757178003,0.3922217748539306
Extra Trees,0.8488111792838157,0.4872409347045076,0.2498027185677759
Gradient Boosting,0.6977817732294462,0.6888810757860541,0.5141911300820274
XGBoost,0.8348672463195671,0.5092142392755932,0.3140484953904712
Hist Gradient Boosting,0.8071074872028319,0.5503533485468721,0.371584049788923
AdaBoost,0.3015154107845061,1.047278872325058,0.8631165401968888
MLP,0.7090250144500062,0.6759456157985084,0.4931105699858672
