Model,R2,RMSE,MAE
Ridge,0.2511639849569653,1.084118786728064,0.8646023781842024
Lasso,0.1126553696760114,1.1801295129083584,0.966294154821307
ElasticNet,0.1573064950872171,1.150054262442438,0.9424120537036312
Bayesian Ridge,0.2532191093843025,1.0826301231880298,0.8649930435330206
PLS,0.2516778655657474,1.0837467404983154,0.8638295610975859
KNN,0.3645357237716996,0.9986862697586764,0.7654954670483587
SVR (RBF),0.4287967735542938,0.94684487888493,0.7265853098722075
Kernel Ridge (RBF),0.3303820695475318,1.0251727312577694,0.8176123664597421
Decision Tree,0.3663977971178681,0.9972219928123376,0.739578839949172
Random Forest,0.4609040096498342,0.9198490400865352,0.6930263189469007
Extra Trees,0.3890968301053008,0.9791961516029758,0.7293382595884522
Gradient Boosting,0.4340328401238043,0.9424951513838176,0.7296671585693829
XGBoost,0.4446096830334509,0.9336469020265992,0.7032049060292173
Hist Gradient Boosting,0.4617516528487189,0.9191255970186872,0.6990540421912333
AdaBoost,0.2366612424795576,1.0945665336829042,0.9005371313349251
MLP,0.4408389457349805,0.9368109667863884,0.7287669324370288
