Model,R2,RMSE,MAE
Ridge,0.2748837729446985,1.0668105961755512,0.8506602879827443
Lasso,0.1162207323989912,1.1777562383764824,0.9647981447125352
ElasticNet,0.1607865503681833,1.1476771271338015,0.9407645976845032
Bayesian Ridge,0.2738426646057168,1.0675761748401478,0.8527674895892526
PLS,0.2746640452629897,1.0669722185853532,0.8504764515943876
KNN,0.5194228422212149,0.8684904973322224,0.6496279643317036
SVR (RBF),0.5139349776561699,0.8734352067459604,0.6435475368334618
Kernel Ridge (RBF),0.3666170023156215,0.997049475140236,0.7941830131441673
Decision Tree,0.6983136920726623,0.6881154495062018,0.4488969804992815
Random Forest,0.6762409498264532,0.7128439487505785,0.5132697484927891
Extra Trees,0.6983136920726623,0.6881154495062018,0.4488969804992889
Gradient Boosting,0.5515603549010619,0.8389488995829402,0.6452585709079252
XGBoost,0.6851028815056146,0.7030202778281117,0.4851013776337429
Hist Gradient Boosting,0.6515887795385836,0.7394853508433556,0.5445701873689789
AdaBoost,0.2556432567618656,1.0808715161448033,0.8925332299912233
MLP,0.5991034776678923,0.7932309537844698,0.5955068899035855
