Model,R2,RMSE,MAE
Ridge,0.2241056501895882,1.1037868671725704,0.8760314442424405
Lasso,0.0502000235730462,1.2212371445939776,0.998485554760822
ElasticNet,0.1190167965394175,1.176163620010206,0.9603469534218833
Bayesian Ridge,0.2257787961670867,1.102596116624749,0.8764273851319918
PLS,0.2243009938486646,1.1036479105359291,0.8758314862170447
KNN,0.295748544033541,1.0515932860204908,0.8032230090732598
SVR (RBF),0.3834701152336619,0.9839227318022592,0.7496340546331702
Kernel Ridge (RBF),0.2982946389496343,1.04969064127132,0.8322931618202278
Decision Tree,0.3527938567604016,1.0081037804060742,0.7530526118658201
Random Forest,0.4307497567290471,0.9454434128290244,0.719046856615888
Extra Trees,0.3656929186265039,0.9980072766802148,0.7457176895777229
Gradient Boosting,0.3987900531093757,0.971621254462643,0.7502061322527348
XGBoost,0.4178707541395005,0.9560786874592344,0.7233255954845957
Hist Gradient Boosting,0.4246019725954585,0.9505349987578124,0.7245588667546401
AdaBoost,0.1983532694475505,1.12195500618053,0.9170518903105036
MLP,0.3963960915366534,0.9735537848996432,0.7543538771120814
