Model,R2,RMSE,MAE
Ridge,0.2448303771538538,1.0889455985193384,0.8640638092692358
Lasso,0.0535722595078944,1.219067234157794,0.9969802539215454
ElasticNet,0.1231101878791863,1.1734279812964157,0.9582185291660504
Bayesian Ridge,0.2435507779578618,1.0898677914289063,0.865890256760302
PLS,0.2445541494932533,1.0891447388082136,0.863936792975538
KNN,0.4627096771062928,0.9185196194078744,0.6829525864910383
SVR (RBF),0.4667111463448132,0.9150928902882146,0.6712663845399894
Kernel Ridge (RBF),0.3323408494551357,1.0239089299406143,0.8107484122859934
Decision Tree,0.6513772373452136,0.7398808689780774,0.4900729815230505
Random Forest,0.630905031694124,0.7612950224188484,0.5508969223750134
Extra Trees,0.6513772373452136,0.7398808689780774,0.4900729815230572
Gradient Boosting,0.517857398017483,0.8701050345555766,0.6651295094360361
XGBoost,0.6382896591380594,0.7536407799354153,0.524366690621552
Hist Gradient Boosting,0.6113775887778456,0.7811741237315479,0.5736113845013425
AdaBoost,0.2173316586768868,1.1085947343997729,0.9046588318204948
MLP,0.49327435251837,0.8920113307831021,0.6895387646008808
