Model,R2,RMSE,MAE
Ridge,0.2474839513009972,1.086779385307646,0.8764278669903174
Lasso,0.1145864745405762,1.1788446710198868,0.966483239786736
ElasticNet,0.1517619829862063,1.1538314575634727,0.9419755814439004
Bayesian Ridge,0.2465068350291945,1.0874847292889,0.878271836110409
PLS,0.2427545567643844,1.0901891186535215,0.8806770472953062
KNN,0.449882305004868,0.9292045248056562,0.7055484585557894
SVR (RBF),0.3123950238718729,1.0388504066736264,0.8170907301143592
Kernel Ridge (RBF),0.2817569144361709,1.061742582280338,0.785950758371336
Decision Tree,0.3046010948622861,1.0447214458884575,0.7634969593898164
Random Forest,0.5267690818849673,0.8618269371219656,0.6499902247442196
Extra Trees,0.4633830607719538,0.917731624588386,0.6780145874218384
Gradient Boosting,0.5102088022724836,0.8767766929885745,0.6765426367524751
XGBoost,0.5241011236049183,0.8642529056944943,0.6458590188402578
Hist Gradient Boosting,0.539802879533076,0.8498757884429405,0.636918162619076
AdaBoost,0.2901624176140763,1.0555115824683563,0.8717142071257129
MLP,0.4274742367801865,0.9479403849229616,0.721362569710565
