Model,R2,RMSE,MAE
Ridge,0.2711657495770879,1.0695421274264894,0.8629644867705291
Lasso,0.1222839972236384,1.1737092221044825,0.962697428201471
ElasticNet,0.1617101279560857,1.1470454280916351,0.9368453601196788
Bayesian Ridge,0.2681925280812451,1.0717214632052123,0.8660144693760875
PLS,0.2675287914554661,1.072207369399622,0.8668733632831026
KNN,0.6399082739244606,0.7517788093372619,0.5592573419151654
SVR (RBF),0.3422151499340856,1.016074242174814,0.7918501558872644
Kernel Ridge (RBF),0.5381765940471455,0.8513761473849337,0.6562196362030749
Decision Tree,0.8891225916308686,0.4171622889727058,0.2043760622093955
Random Forest,0.8374463956282348,0.5051051662296473,0.3653298683015127
Extra Trees,0.8891225916308686,0.4171622889727058,0.2043760622094168
Gradient Boosting,0.6702338916153877,0.7194266444986935,0.5459875024987383
XGBoost,0.8429051581034221,0.4965516980679046,0.3335306390151776
Hist Gradient Boosting,0.8273398222578975,0.5205705561645593,0.3657873514957415
AdaBoost,0.316841239945923,1.035486233502196,0.8600284381529825
MLP,0.634433559385841,0.7574721482393346,0.5691181302802272
