Model,R2,RMSE,MAE
Ridge,0.2226390362056434,1.1048295767823424,0.8835263951769069
Lasso,0.088617719253607,1.196283790802193,0.9781456898791864
ElasticNet,0.1384969797111164,1.1630873441232634,0.9453966247876684
Bayesian Ridge,0.222470996414732,1.1049489841797209,0.8842044960630494
PLS,0.2172193054973384,1.1086743017381993,0.8859990470348333
KNN,0.426287844787524,0.9491414798764046,0.7233852074704293
SVR (RBF),0.2908243172017684,1.0552633271075995,0.8245343063168055
Kernel Ridge (RBF),0.2533520859852131,1.0827840654527556,0.8025548269298765
Decision Tree,0.3149271703662019,1.0371756200481772,0.7606500379856438
Random Forest,0.509018089081232,0.878044797133536,0.6634882236181638
Extra Trees,0.4641376992662749,0.917298176345246,0.6744676781981617
Gradient Boosting,0.4863629139198104,0.898073981951383,0.6907622200689105
XGBoost,0.5046871135949156,0.8819089324939673,0.6575714548490025
Hist Gradient Boosting,0.5130088729136649,0.8744690681290413,0.6579155555276494
AdaBoost,0.2524993714159987,1.0834021896476054,0.8904652857751706
MLP,0.3918001509623393,0.9772531565846552,0.748867903476063
