Model,R2,RMSE,MAE
Ridge,0.2478989748139348,1.0867309057709764,0.8695583578606558
Lasso,0.0951109688097942,1.192014641368337,0.9746870517019264
ElasticNet,0.1462629091222813,1.1578332116381005,0.9407002767286132
Bayesian Ridge,0.2448077576586207,1.0889619069185292,0.8716047354112866
PLS,0.2437597437515626,1.0897172454226465,0.8716936036235663
KNN,0.6129829446545839,0.7795589823835478,0.5788879442215631
SVR (RBF),0.3181602137847961,1.0347253700648384,0.8011933141921277
Kernel Ridge (RBF),0.509210079231282,0.8778731080839828,0.6766525814727783
Decision Tree,0.8485941472404557,0.4875905272616092,0.2578671221866225
Random Forest,0.8051523322935785,0.5531355019917248,0.3968627454759287
Extra Trees,0.8485941472404557,0.4875905272616092,0.2578671221866407
Gradient Boosting,0.6436357625371021,0.7480506163425628,0.5664412441728737
XGBoost,0.8126322963930208,0.5424145052710692,0.3621404220759515
Hist Gradient Boosting,0.7971478916387825,0.5643826973919509,0.3958403467952179
AdaBoost,0.2864255328063609,1.0585309942014338,0.8706959021762577
MLP,0.5755050590652018,0.8164323172404766,0.629769137822409
