Split,Fingerprint,Model,Acc_train,BalAcc_train,F1_train,MCC_train,Acc_CV,BalAcc_CV,F1_CV,MCC_CV,Acc_test,BalAcc_test,F1_test,MCC_test,Time_s
Random,MACCS,Ridge Classifier,0.6028550512445096,0.5945755172350946,0.6043050679257559,0.39744449055037134,0.5618594436310396,0.5509187314927488,0.5617360918184411,0.3345187766246613,0.5382585751978892,0.5346456760980431,0.5374260840521665,0.30423050152731096,0.1652083396911621
Random,MACCS,Logistic Reg (L1),0.6087115666178624,0.6024776061533785,0.6113534551322038,0.4086476395930586,0.5633235724743777,0.5561463723441858,0.5658970507335098,0.3403663307202887,0.5514511873350924,0.5480991977046915,0.5508530825320815,0.32410862398019036,28.65868592262268
Random,MACCS,Logistic Reg (EN),0.6090775988286969,0.602768472936392,0.6117130460964875,0.4091955323013384,0.5622254758418741,0.5548955925959967,0.5646646924479973,0.3383996115850016,0.5514511873350924,0.5480991977046915,0.5508530825320815,0.32410862398019036,18.06714177131653
Random,MACCS,Naive Bayes,0.4908491947291362,0.4876181771510421,0.4975642307122394,0.23908351357966728,0.47767203513909223,0.4739878666512418,0.4846454701784355,0.21908888566384377,0.4313984168865435,0.4343110912076429,0.4351245960282706,0.15295827908105097,0.10816216468811035
Random,MACCS,LDA,0.6142020497803806,0.5915792053789504,0.6092312097085117,0.405700190092165,0.5783308931185944,0.5556955864106666,0.5734995570539067,0.3508101949483347,0.5686015831134564,0.5547235948024961,0.5608857652466425,0.3442302156203123,0.4768505096435547
Random,MACCS,KNN,0.7126647144948756,0.698771752050107,0.7103870517559406,0.5629298089427086,0.5969985358711567,0.5811917812365416,0.5938258595527369,0.3877669745230247,0.6279683377308707,0.6188957075134749,0.6254141819823117,0.43852395913062125,0.3745002746582031
Random,MACCS,SVC (RBF),0.29978038067349927,0.34061071278606475,0.22279157879921807,0.01165451104963923,0.31954612005856514,0.36255996843170973,0.25626741974841766,0.04871770472624864,0.3179419525065963,0.3459388912924857,0.2456928333022254,0.021883967379917248,1.7382206916809082
Random,MACCS,SVC (Linear),0.3484626647144949,0.3746976921704969,0.32182285056069,0.07446137484727795,0.3781112737920937,0.3905316783812837,0.3723494838882359,0.09189796712481256,0.3469656992084433,0.3678039052965996,0.3089334491588851,0.060913023996863574,0.9809839725494385
Random,MACCS,Decision Tree,0.8565153733528551,0.8517786627273104,0.857780440813964,0.7830441941730385,0.5984626647144948,0.5893340201182754,0.601820651957907,0.39399988923858115,0.6108179419525066,0.6069679849340867,0.613627197515114,0.41523650859429756,0.16477632522583008
Random,MACCS,Random Forest,0.8561493411420205,0.8492994817290181,0.8563734280210623,0.7821305599222109,0.6456808199121523,0.6285011129706353,0.6420786665466139,0.45973071740740257,0.6398416886543535,0.6340305872450817,0.639820705305882,0.45712849785172677,5.751481294631958
Random,MACCS,Extra Trees,0.8565153733528551,0.8517786627273104,0.857780440813964,0.7830441941730385,0.6390922401171303,0.6230360400870126,0.6378103125071859,0.450324989962722,0.6319261213720316,0.6262806532385726,0.6339852593898078,0.4457263485455198,7.344805955886841
Random,MACCS,Gradient Boosting,0.7342606149341142,0.7142714660415336,0.7279292528734573,0.59346219570141,0.6189604685212299,0.594831919242575,0.6099297566877252,0.41457732879450254,0.6226912928759895,0.6079634324374242,0.609320620174776,0.42930350293033304,26.537338495254517
Random,MACCS,XGBoost,0.8349194729136163,0.8212681846542358,0.832496385255676,0.7485564719528566,0.6387262079062958,0.6198751323130782,0.634797581574787,0.4476586301063053,0.6358839050131926,0.6257251272008724,0.6300271408280781,0.44876705146273677,3.9166460037231445
Random,MACCS,Hist Gradient Boosting,0.8572474377745242,0.8454774242149116,0.8553331557073988,0.7833508114160159,0.6273792093704246,0.6093082284317398,0.6238168740137794,0.431251180594188,0.637203166226913,0.6268488508698912,0.6320301369975402,0.45073255818048813,30.535267114639282
Random,MACCS,AdaBoost,0.5629575402635432,0.5315968933349504,0.5422366305534192,0.325548081593802,0.5538067349926794,0.5232792442053761,0.5317114003538396,0.31213721619483525,0.5303430079155673,0.5127563098632649,0.5085904753796344,0.2875188976570794,8.505107641220093
Random,MACCS,MLP,0.7968521229868228,0.7777645010168136,0.7892876123696033,0.6942428985137736,0.6160322108345534,0.5880999478712633,0.6025282309960743,0.40897695311888305,0.6385224274406333,0.6240583171617654,0.6199588231702825,0.45801413685705716,11.000701189041138
Random,PubChem,Ridge Classifier,0.6500732064421669,0.6380295690037165,0.6519577901541261,0.46938515967581734,0.5728404099560761,0.5574937367791991,0.5733170669788651,0.3519922790338385,0.5857519788918206,0.5781473834951333,0.582088290324993,0.3752918680360506,0.08501219749450684
Random,PubChem,Logistic Reg (L1),0.6665446559297218,0.6577041290982099,0.6699195946011497,0.4960950131844151,0.5699121522693997,0.5584083373126587,0.574734716761122,0.3506900076455472,0.5963060686015831,0.592127440388691,0.5949115672802797,0.39236315142572076,31.56774377822876
Random,PubChem,Logistic Reg (EN),0.6683748169838946,0.6595589209321135,0.6717445012803639,0.4988707188931873,0.5699121522693997,0.5585492494588336,0.5748021788194398,0.3508658238280611,0.5949868073878628,0.5909974968858663,0.5937035134409961,0.39048105907011,30.559468507766724
Random,PubChem,Naive Bayes,0.5087847730600292,0.5029990575591855,0.5153721444252531,0.26366788777857947,0.49633967789165445,0.4888443511046121,0.5027496712064988,0.24258386704112578,0.47757255936675463,0.4762454004856109,0.4833950796421391,0.22050917915106494,0.06217479705810547
Random,PubChem,LDA,0.6610541727672035,0.6436566161493595,0.6608201113486285,0.48175599925453944,0.5896778916544656,0.5698883346456795,0.5886342020765811,0.37220773872670504,0.5963060686015831,0.5856029823154313,0.5911063747660061,0.38828874580003636,0.3037571907043457
Random,PubChem,KNN,0.7232796486090776,0.7095717648236435,0.7194639835004637,0.5806245419186169,0.595900439238653,0.5765139975052354,0.588041182725851,0.38694322808328674,0.6134564643799473,0.6047310375188809,0.6032298277533263,0.4194662670071514,0.2734391689300537
Random,PubChem,SVC (RBF),0.3056368960468521,0.34843983598832634,0.2279107287949669,0.02404975542306556,0.27855051244509516,0.3276931797602931,0.13928100749103806,-0.019374691973826123,0.32189973614775724,0.35081315366236465,0.24669423766329512,0.0285665535227646,2.353712320327759
