molecule_chembl_id,molecule_pref_name,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_description,assay_type,target_chembl_id,target_pref_name,target_organism,document_chembl_id,document_journal,document_year,activity_id,inchi_key,bioactivity_class
CHEMBL10026,,O=C1/C(=C/c2ccncc2)C(c2ccccc2)Oc2ccccc21,IC50,=,800.0,nM,6.1,CHEMBL666797,"In vitro inhibition of [1,2,6,7-3H]-androstenedione binding to human placental microsome cytochrome P450 19A1",B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1135267,Bioorg Med Chem Lett,2002,287165,YQBABXZFWNTIHJ-JXAWBTAJSA-N,intermediate
CHEMBL100615,,C[C@]12CCC(=O)C=C1C[C@@H](Sc1ccc(NC(=O)CBr)cc1)C1C2CC[C@]2(C)C(=O)CCC12,Ki,=,33000.0,nM,4.48,CHEMBL661762,Binding affinity was measured on Cytochrome P450 19A1,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1124997,J Med Chem,1990,622174,LCFDGVXDFUKBGU-BWGWWWHMSA-N,inactive
CHEMBL10072,,O=C1/C(=C\c2ccncc2)C(c2ccccc2)Oc2ccccc21,IC50,=,3300.0,nM,5.48,CHEMBL666797,"In vitro inhibition of [1,2,6,7-3H]-androstenedione binding to human placental microsome cytochrome P450 19A1",B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1135267,Bioorg Med Chem Lett,2002,280184,YQBABXZFWNTIHJ-NBVRZTHBSA-N,inactive
CHEMBL100749,rac-VOROZOLE,Cn1nnc2ccc(C(c3ccc(Cl)cc3)n3cncn3)cc21,IC50,=,1.995,nM,8.719999999999999,CHEMBL988317,Inhibition of aromatase activity in human JEG3 cells,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1155113,J Med Chem,2008,2574584,XLMPPFTZALNBFS-UHFFFAOYSA-N,active
CHEMBL101323,,C[C@]12CCC(=O)C(N)=C1CCC1C2CC[C@]2(C)C(=O)CCC12,Ki,=,37.0,nM,7.43,CHEMBL661762,Binding affinity was measured on Cytochrome P450 19A1,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1124997,J Med Chem,1990,631036,LNDKUEXAXHAQMO-FWMAMRLESA-N,active
CHEMBL10137,,COc1ccc2c(c1)OC(c1ccccc1)/C(=C\c1ccncc1)C2=O,IC50,=,620.0,nM,6.21,CHEMBL666797,"In vitro inhibition of [1,2,6,7-3H]-androstenedione binding to human placental microsome cytochrome P450 19A1",B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1135267,Bioorg Med Chem Lett,2002,280181,QMWQUOJVPMTHBL-UYRXBGFRSA-N,intermediate
CHEMBL101540,,CSC[C@]12CCC(=O)C=C1CCC1C2CC[C@]2(C)C(=O)CCC12,Ki,=,1.0,nM,9.0,CHEMBL661762,Binding affinity was measured on Cytochrome P450 19A1,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1124997,J Med Chem,1990,595812,FDHUZZLLTRFCDB-YXAMPDCWSA-N,active
CHEMBL101595,,CCC[C@]12CCC(=O)C=C1CCC1C2CC[C@]2(C)C(=O)CCC12,Ki,=,3000.0,nM,5.52,CHEMBL661762,Binding affinity was measured on Cytochrome P450 19A1,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1124997,J Med Chem,1990,602108,VGXUJXXKBNEKRI-CEJNIXRPSA-N,inactive
CHEMBL101743,,CCC1CCC(OC(=O)Cc2ccncc2)CC1,IC50,=,120.0,nM,6.92,CHEMBL663239,In vitro inhibition of human placental Cytochrome P450 19A1.,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1125012,J Med Chem,1990,1212444,OXWFJOQWZXQYJJ-UHFFFAOYSA-N,intermediate
CHEMBL101893,,C[C@]12CCC(=O)C=C1[C@H](Br)CC1C2CC[C@@]2(C)C1CC[C@@H]2OC(=O)CBr,Ki,=,25000.0,nM,4.6,CHEMBL661762,Binding affinity was measured on Cytochrome P450 19A1,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1124997,J Med Chem,1990,605898,NJULPAVJMURXJB-DCCOOYGWSA-N,inactive
