feature,sd,mean,is_low_variance
CDKGraph_0,0.0,0.0,True
CDKGraph_1,0.0,0.0,True
CDKGraph_2,0.0,0.0,True
CDKGraph_3,0.0,0.0,True
CDKGraph_4,0.0,0.0,True
CDKGraph_5,0.0,0.0,True
CDKGraph_6,0.0,0.0,True
CDKGraph_7,0.0,0.0,True
CDKGraph_8,0.0,0.0,True
CDKGraph_9,0.0,0.0,True
CDKGraph_10,0.0,0.0,True
CDKGraph_11,0.0,0.0,True
CDKGraph_12,0.0,0.0,True
CDKGraph_13,0.0,0.0,True
CDKGraph_14,0.498398163312272,0.45919448860625334,False
CDKGraph_15,0.0,0.0,True
CDKGraph_16,0.0,0.0,True
CDKGraph_17,0.0,0.0,True
CDKGraph_18,0.07078437807663417,0.005034446210916799,True
CDKGraph_19,0.0,0.0,True
CDKGraph_20,0.08733343847501351,0.007684154742978272,True
CDKGraph_21,0.0,0.0,True
CDKGraph_22,0.0,0.0,True
CDKGraph_23,0.0,0.0,True
CDKGraph_24,0.0,0.0,True
CDKGraph_25,0.0,0.0,True
CDKGraph_26,0.0,0.0,True
CDKGraph_27,0.0,0.0,True
CDKGraph_28,0.09586661749572799,0.9907260201377849,True
CDKGraph_29,0.0,0.0,True
CDKGraph_30,0.0,0.0,True
CDKGraph_31,0.0,0.0,True
CDKGraph_32,0.0,0.0,True
CDKGraph_33,0.0,0.0,True
CDKGraph_34,0.0,0.0,True
CDKGraph_35,0.1517642216556851,0.9764175940646529,False
CDKGraph_36,0.0,0.0,True
CDKGraph_37,0.0,0.0,True
CDKGraph_38,0.0,0.0,True
CDKGraph_39,0.18035383920899295,0.03365129835718071,False
CDKGraph_40,0.0,0.0,True
CDKGraph_41,0.4682832368101865,0.3245892951775305,False
CDKGraph_42,0.0,0.0,True
CDKGraph_43,0.0,0.0,True
CDKGraph_44,0.0,0.0,True
CDKGraph_45,0.0,0.0,True
CDKGraph_46,0.0,0.0,True
CDKGraph_47,0.0,0.0,True
CDKGraph_48,0.0,0.0,True
CDKGraph_49,0.0,0.0,True
CDKGraph_50,0.0,0.0,True
CDKGraph_51,0.0,0.0,True
CDKGraph_52,0.0,0.0,True
CDKGraph_53,0.0,0.0,True
CDKGraph_54,0.0,0.0,True
CDKGraph_55,0.0,0.0,True
CDKGraph_56,0.0,0.0,True
CDKGraph_57,0.0,0.0,True
CDKGraph_58,0.0,0.0,True
CDKGraph_59,0.0,0.0,True
CDKGraph_60,0.0,0.0,True
CDKGraph_61,0.0,0.0,True
CDKGraph_62,0.0,0.0,True
CDKGraph_63,0.0,0.0,True
CDKGraph_64,0.4998835832695172,0.5135135135135135,False
CDKGraph_65,0.0,0.0,True
CDKGraph_66,0.0,0.0,True
