feature,sd,mean,is_low_variance
KRFP_0,0.49499716443764047,0.5710121886592475,False
KRFP_1,0.4788352734282819,0.35585585585585583,False
KRFP_2,0.0,0.0,True
KRFP_3,0.0,0.0,True
KRFP_4,0.0,0.0,True
KRFP_5,0.0,0.0,True
KRFP_6,0.09311217545142089,0.008744038155802861,True
KRFP_7,0.4591005587213121,0.30180180180180183,False
KRFP_8,0.0,0.0,True
KRFP_9,0.16824018008999808,0.029146793852676205,False
KRFP_10,0.0,0.0,True
KRFP_11,0.0,0.0,True
KRFP_12,0.0,0.0,True
KRFP_13,0.21314784121523564,0.04769475357710652,False
KRFP_14,0.0,0.0,True
KRFP_15,0.07261356872352699,0.005299417064122946,True
KRFP_16,0.26168651357109224,0.0739268680445151,False
KRFP_17,0.47156059742016715,0.33359830418653946,False
KRFP_18,0.12813607046146816,0.016693163751987282,False
KRFP_19,0.26383203845876735,0.07525172231054585,False
KRFP_20,0.04303308482623011,0.0018547959724430313,True
KRFP_21,0.0,0.0,True
KRFP_22,0.0,0.0,True
KRFP_23,0.0,0.0,True
KRFP_24,0.023017411889466755,0.0005299417064122947,True
KRFP_25,0.0162779253348253,0.00026497085320614734,True
KRFP_26,0.0,0.0,True
KRFP_27,0.0,0.0,True
KRFP_28,0.0,0.0,True
KRFP_29,0.0,0.0,True
KRFP_30,0.0,0.0,True
KRFP_31,0.0,0.0,True
KRFP_32,0.20271553298174935,0.04292527821939587,False
KRFP_33,0.09449980429527707,0.009009009009009009,True
KRFP_34,0.0,0.0,True
KRFP_35,0.043033084826230104,0.0018547959724430313,True
KRFP_36,0.0162779253348253,0.00026497085320614734,True
KRFP_37,0.02301741188946676,0.0005299417064122947,True
KRFP_38,0.0,0.0,True
KRFP_39,0.0,0.0,True
KRFP_40,0.0,0.0,True
KRFP_41,0.07078437807663417,0.005034446210916799,True
KRFP_42,0.0,0.0,True
KRFP_43,0.0,0.0,True
KRFP_44,0.2817411013067905,0.08691043985161633,False
KRFP_45,0.0,0.0,True
KRFP_46,0.0,0.0,True
KRFP_47,0.05141388915001135,0.002649708532061473,True
KRFP_48,0.0,0.0,True
KRFP_49,0.0,0.0,True
KRFP_50,0.0,0.0,True
KRFP_51,0.07439685537382569,0.005564387917329093,True
KRFP_52,0.07261356872352699,0.005299417064122946,True
KRFP_53,0.10855706625815112,0.01192368839427663,False
KRFP_54,0.03984618268282351,0.001589825119236884,True
KRFP_55,0.12198020471107276,0.015103338632750398,False
KRFP_56,0.023017411889466752,0.0005299417064122947,True
KRFP_57,0.10491826790705254,0.011128775834658187,False
KRFP_58,0.0,0.0,True
KRFP_59,0.0,0.0,True
KRFP_60,0.0,0.0,True
KRFP_61,0.0,0.0,True
KRFP_62,0.0,0.0,True
KRFP_63,0.0,0.0,True
KRFP_64,0.0,0.0,True
KRFP_65,0.0,0.0,True
KRFP_66,0.05141388915001135,0.002649708532061473,True
KRFP_67,0.05141388915001134,0.002649708532061473,True
KRFP_68,0.0,0.0,True
KRFP_69,0.0,0.0,True
KRFP_70,0.0,0.0,True
KRFP_71,0.190314878310729,0.03762586115527292,False
KRFP_72,0.13399059048169018,0.018282988871224166,False
KRFP_73,0.0,0.0,True
KRFP_74,0.0,0.0,True
KRFP_75,0.0,0.0,True
KRFP_76,0.0,0.0,True
KRFP_77,0.0,0.0,True
KRFP_78,0.0,0.0,True
KRFP_79,0.0,0.0,True
KRFP_80,0.0,0.0,True
KRFP_81,0.0,0.0,True
KRFP_82,0.0,0.0,True
KRFP_83,0.0,0.0,True
KRFP_84,0.0,0.0,True
KRFP_85,0.0,0.0,True
KRFP_86,0.0,0.0,True
KRFP_87,0.0,0.0,True
KRFP_88,0.0,0.0,True
KRFP_89,0.0,0.0,True
