feature,sd,mean,is_low_variance
PubChem_0,0.016325578711208474,0.9997334754797441,True
PubChem_1,0.05647047973115887,0.9968017057569296,True
PubChem_2,0.4609906866508288,0.6937633262260128,False
PubChem_3,0.3224186718434196,0.11780383795309168,False
PubChem_4,0.0,0.0,True
PubChem_5,0.0,0.0,True
PubChem_6,0.0,0.0,True
PubChem_7,0.0,0.0,True
PubChem_8,0.0,0.0,True
PubChem_9,0.0,1.0,True
PubChem_10,0.0,1.0,True
PubChem_11,0.016325578711208474,0.9997334754797441,True
PubChem_12,0.3757203312428587,0.829957356076759,False
PubChem_13,0.1610869792234957,0.026652452025586353,False
PubChem_14,0.4750441043218806,0.656183368869936,False
PubChem_15,0.49971840373493415,0.5186567164179104,False
PubChem_16,0.3600210927068895,0.15298507462686567,False
PubChem_17,0.046132603694364935,0.0021321961620469083,True
PubChem_18,0.3709699971289789,0.8352878464818764,False
PubChem_19,0.4678969403898436,0.6764392324093816,False
PubChem_20,0.37804492497803494,0.17270788912579957,False
PubChem_21,0.11911744963928146,0.014392324093816631,False
PubChem_22,0.0,0.0,True
PubChem_23,0.32178556293695554,0.11727078891257996,False
PubChem_24,0.2176434609631527,0.04984008528784648,False
PubChem_25,0.07635910147859266,0.005863539445628998,True
PubChem_26,0.0,0.0,True
PubChem_27,0.0,0.0,True
PubChem_28,0.0,0.0,True
PubChem_29,0.0,0.0,True
PubChem_30,0.0,0.0,True
PubChem_31,0.0,0.0,True
PubChem_32,0.0,0.0,True
PubChem_33,0.3911095390988916,0.1884328358208955,False
PubChem_34,0.18291147512749995,0.03464818763326226,False
PubChem_35,0.0,0.0,True
PubChem_36,0.0,0.0,True
PubChem_37,0.30067866737301296,0.10047974413646056,False
PubChem_38,0.17809063928778673,0.032782515991471216,False
PubChem_39,0.03648563438022323,0.0013326226012793177,True
PubChem_40,0.0,0.0,True
PubChem_41,0.0,0.0,True
PubChem_42,0.0,0.0,True
PubChem_43,0.22572773007459238,0.05383795309168443,False
PubChem_44,0.07099060028456139,0.005063965884861407,True
PubChem_45,0.0,0.0,True
PubChem_46,0.07099060028456139,0.005063965884861407,True
PubChem_47,0.04892448033199337,0.002398720682302772,True
PubChem_48,0.016325578711208474,0.00026652452025586353,True
PubChem_49,0.0,0.0,True
PubChem_50,0.0,0.0,True
PubChem_51,0.0,0.0,True
PubChem_52,0.0,0.0,True
PubChem_53,0.0,0.0,True
PubChem_54,0.0,0.0,True
PubChem_55,0.0,0.0,True
PubChem_56,0.0,0.0,True
PubChem_57,0.0,0.0,True
PubChem_58,0.0,0.0,True
PubChem_59,0.0,0.0,True
PubChem_60,0.0,0.0,True
PubChem_61,0.0,0.0,True
PubChem_62,0.0,0.0,True
PubChem_63,0.0,0.0,True
PubChem_64,0.0,0.0,True
PubChem_65,0.0,0.0,True
PubChem_66,0.016325578711208478,0.00026652452025586353,True
PubChem_67,0.0,0.0,True
PubChem_68,0.0,0.0,True
PubChem_69,0.0,0.0,True
PubChem_70,0.0,0.0,True
PubChem_71,0.0,0.0,True
PubChem_72,0.0,0.0,True
PubChem_73,0.0,0.0,True
PubChem_74,0.0,0.0,True
PubChem_75,0.0,0.0,True
PubChem_76,0.0,0.0,True
PubChem_77,0.0,0.0,True
PubChem_78,0.0,0.0,True
PubChem_79,0.0,0.0,True
PubChem_80,0.0,0.0,True
PubChem_81,0.0,0.0,True
PubChem_82,0.0,0.0,True
PubChem_83,0.0,0.0,True
PubChem_84,0.0,0.0,True
PubChem_85,0.0,0.0,True
PubChem_86,0.0,0.0,True
PubChem_87,0.0,0.0,True
PubChem_88,0.0,0.0,True
PubChem_89,0.0,0.0,True
PubChem_90,0.0,0.0,True
PubChem_91,0.0,0.0,True
PubChem_92,0.0,0.0,True
PubChem_93,0.0,0.0,True
PubChem_94,0.0,0.0,True
