molecule_chembl_id,molecule_pref_name,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_description,assay_type,target_chembl_id,target_pref_name,target_organism,document_chembl_id,document_journal,document_year,activity_id
CHEMBL386630,TESTOSTERONE,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,Ki,=,600.0,nM,6.22,CHEMBL664583,Inhibition of human placental aromatase Cytochrome P450 19A1,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1122309,J Med Chem,1983,79605
CHEMBL341591,,CC12CCC(O)CC1=CCC1C2CCC2(C)C(CC3CN3)CCC12,IC50,=,7100.0,nM,5.15,CHEMBL666794,Inhibition of Cytochrome P450 19A1,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1133116,J Med Chem,2000,82585
CHEMBL2111947,,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2[C@H]1CN1,IC50,>,50000.0,nM,,CHEMBL666794,Inhibition of Cytochrome P450 19A1,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1133116,J Med Chem,2000,94540
CHEMBL431859,,CCn1c(C(c2ccc(F)cc2)n2ccnc2)c(C)c2cc(Br)ccc21,IC50,=,238.0,nM,6.62,CHEMBL661700,In vitro inhibition of human Cytochrome P450 19A1,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1131917,Bioorg Med Chem Lett,1999,112960
CHEMBL113637,,CCn1cc(C(c2ccc(F)cc2)n2ccnc2)c2ccccc21,IC50,=,57.0,nM,7.24,CHEMBL661700,In vitro inhibition of human Cytochrome P450 19A1,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1131917,Bioorg Med Chem Lett,1999,116766
CHEMBL112021,,Clc1ccccc1Cn1cc(Cn2ccnc2)c2ccccc21,IC50,=,54.0,nM,7.27,CHEMBL661700,In vitro inhibition of human Cytochrome P450 19A1,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1131917,Bioorg Med Chem Lett,1999,118017
CHEMBL324070,,Cc1ccc(S(=O)(=O)n2cc(C(c3ccccc3)n3ccnc3)c3ccccc32)cc1,IC50,=,5400.0,nM,5.27,CHEMBL661700,In vitro inhibition of human Cytochrome P450 19A1,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1131917,Bioorg Med Chem Lett,1999,118020
CHEMBL41761,,CCn1ccc2cc(C(c3ccc(F)cc3)n3ccnc3)ccc21,IC50,=,41.0,nM,7.39,CHEMBL661700,In vitro inhibition of human Cytochrome P450 19A1,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1131917,Bioorg Med Chem Lett,1999,126976
CHEMBL111868,,Cn1cc(C(c2ccc(F)cc2)n2ccnc2)c2cc(Br)ccc21,IC50,=,78.5,nM,7.11,CHEMBL661700,In vitro inhibition of human Cytochrome P450 19A1,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1131917,Bioorg Med Chem Lett,1999,135646
CHEMBL111888,,CCn1cc(C(c2ccc(F)cc2)n2ccnc2)c2cc(Br)ccc21,IC50,=,51.8,nM,7.29,CHEMBL661700,In vitro inhibition of human Cytochrome P450 19A1,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1131917,Bioorg Med Chem Lett,1999,138013
