molecule_chembl_id,pchembl_value,activity_class
CHEMBL10026,6.1,Intermediate
CHEMBL100615,4.48,Inactive
CHEMBL10072,5.48,Intermediate
CHEMBL100749,8.719999999999999,Active
CHEMBL101323,7.43,Active
CHEMBL10137,6.21,Intermediate
CHEMBL101540,9.0,Active
CHEMBL101595,5.52,Intermediate
CHEMBL101743,6.92,Active
CHEMBL101893,4.6,Inactive
CHEMBL101947,5.96,Intermediate
CHEMBL102409,6.52,Active
CHEMBL102536,6.775,Active
CHEMBL102884,6.51,Active
CHEMBL102981,5.68,Intermediate
CHEMBL103040,6.265,Intermediate
CHEMBL103685,4.89,Inactive
CHEMBL104,8.74,Active
CHEMBL104047,7.05,Active
CHEMBL104126,5.01,Intermediate
CHEMBL104566,5.7,Intermediate
CHEMBL105044,5.5,Intermediate
CHEMBL105289,5.64,Intermediate
CHEMBL105298,6.565,Active
CHEMBL106,4.66,Inactive
CHEMBL1077603,6.776666666666666,Active
CHEMBL1077603,7.0,Active
CHEMBL1078534,6.293333333333334,Intermediate
CHEMBL1078534,6.678,Active
CHEMBL1079595,5.64,Intermediate
CHEMBL1079595,7.0,Active
CHEMBL1082760,6.41,Intermediate
CHEMBL1083353,8.4,Active
CHEMBL1083354,5.1,Intermediate
CHEMBL1083652,6.82,Active
CHEMBL1083653,7.93,Active
CHEMBL1083663,7.28,Active
CHEMBL1083664,5.72,Intermediate
CHEMBL1083665,7.78,Active
CHEMBL1083970,7.0,Active
CHEMBL1083971,7.77,Active
CHEMBL108425,9.54,Active
CHEMBL108483,9.09,Active
CHEMBL1085936,8.25,Active
CHEMBL108646,7.92,Active
CHEMBL109211,6.56,Active
CHEMBL109211,7.32,Active
CHEMBL1093458,5.215,Intermediate
CHEMBL109347,5.5,Intermediate
CHEMBL1094149,7.76,Active
CHEMBL1094154,8.22,Active
CHEMBL1094331,7.86,Active
CHEMBL1094426,7.14,Active
CHEMBL1094427,7.07,Active
CHEMBL1094428,6.99,Active
CHEMBL1095413,6.6,Active
CHEMBL1096024,5.46,Intermediate
CHEMBL1096024,7.06,Active
CHEMBL1096439,8.16,Active
CHEMBL1096744,6.68,Active
CHEMBL1097041,7.89,Active
CHEMBL1097042,7.7,Active
CHEMBL1097043,7.5,Active
CHEMBL1097371,8.7,Active
CHEMBL1097763,7.76,Active
CHEMBL1097764,7.26,Active
CHEMBL1097980,8.06,Active
CHEMBL1098382,9.0,Active
CHEMBL1098424,6.8,Active
CHEMBL1098425,6.8,Active
CHEMBL1098426,6.7,Active
CHEMBL1098737,6.96,Active
CHEMBL1099308,8.15,Active
CHEMBL110524,5.025,Intermediate
CHEMBL111868,7.11,Active
CHEMBL111888,7.29,Active
CHEMBL112021,7.27,Active
CHEMBL112074,6.69,Active
CHEMBL112292,5.025,Intermediate
CHEMBL112509,4.890000000000001,Inactive
CHEMBL112532,8.15,Active
CHEMBL112908,4.7,Inactive
CHEMBL113082,7.51,Active
CHEMBL113082,8.0,Active
CHEMBL113121,6.75,Active
CHEMBL113121,7.43,Active
CHEMBL113242,6.24,Intermediate
CHEMBL113637,7.24,Active
CHEMBL113647,5.1,Intermediate
CHEMBL113739,6.73,Active
CHEMBL113739,7.18,Active
CHEMBL114447,5.82,Intermediate
CHEMBL115899,5.45,Intermediate
CHEMBL1162951,4.92,Inactive
CHEMBL1165711,4.39,Inactive
CHEMBL116794,5.06,Intermediate
CHEMBL117,6.676,Active
CHEMBL117,5.58,Intermediate
CHEMBL1170662,6.12,Intermediate
CHEMBL1170663,5.63,Intermediate
CHEMBL1170678,7.19,Active
CHEMBL1170893,7.42,Active
CHEMBL1171091,5.07,Intermediate
CHEMBL1171628,5.13,Intermediate
CHEMBL1171680,5.96,Intermediate
CHEMBL1171818,5.555,Intermediate
CHEMBL1171987,5.55,Intermediate
CHEMBL1171991,4.3,Inactive
CHEMBL1172396,5.49,Intermediate
CHEMBL1172400,5.54,Intermediate
CHEMBL1172402,5.33,Intermediate
CHEMBL1172779,5.61,Intermediate
CHEMBL1172842,4.31,Inactive
CHEMBL1172847,5.02,Intermediate
CHEMBL1172882,6.18,Intermediate
CHEMBL1172937,4.84,Inactive
CHEMBL1173065,4.79,Inactive
CHEMBL1173067,5.45,Intermediate
CHEMBL1173129,4.66,Inactive
CHEMBL1173130,5.07,Intermediate
CHEMBL1173131,5.08,Intermediate
CHEMBL1173259,4.92,Inactive
CHEMBL1173260,5.675000000000001,Intermediate
CHEMBL1173326,5.3,Intermediate
CHEMBL1173327,4.61,Inactive
CHEMBL1173335,5.24,Intermediate
CHEMBL1173573,5.51,Intermediate
CHEMBL1173641,4.95,Inactive
CHEMBL1173699,6.125,Intermediate
CHEMBL1173700,6.01,Intermediate
CHEMBL118266,8.4,Active
CHEMBL1191848,5.27,Intermediate
CHEMBL1195457,6.8,Active
CHEMBL1200374,7.159999999999999,Active
CHEMBL1200374,8.196666666666667,Active
CHEMBL1203757,7.75,Active
CHEMBL1203760,7.68,Active
CHEMBL1203762,8.7,Active
CHEMBL1203766,8.12,Active
CHEMBL1215664,5.51,Intermediate
CHEMBL1215665,4.61,Inactive
CHEMBL1230438,6.05,Intermediate
CHEMBL123494,5.39,Intermediate
CHEMBL124118,4.03,Inactive
CHEMBL124230,4.64,Inactive
CHEMBL129795,5.42,Intermediate
CHEMBL129795,5.55,Intermediate
CHEMBL129883,6.31,Intermediate
CHEMBL1303900,6.76,Active
CHEMBL130546,6.61,Active
CHEMBL131414,6.1,Intermediate
CHEMBL131921,6.23,Intermediate
CHEMBL131921,4.92,Inactive
CHEMBL131984,5.25,Intermediate
CHEMBL132066,5.05,Intermediate
CHEMBL132072,6.92,Active
CHEMBL132380,4.26,Inactive
CHEMBL132530,6.444166666666668,Intermediate
CHEMBL132530,7.596666666666667,Active
CHEMBL132563,6.63,Active
CHEMBL132929,7.73,Active
CHEMBL133026,6.84,Active
CHEMBL133079,6.7,Active
CHEMBL133081,4.62,Inactive
CHEMBL133082,5.8,Intermediate
CHEMBL133145,7.12,Active
CHEMBL133198,7.54,Active
CHEMBL133240,6.47,Intermediate
CHEMBL133724,5.88,Intermediate
CHEMBL134169,4.46,Inactive
CHEMBL134442,6.36,Intermediate
CHEMBL134509,5.04,Intermediate
CHEMBL135037,5.05,Intermediate
CHEMBL135063,8.08,Active
CHEMBL135070,5.42,Intermediate
CHEMBL135095,5.77,Intermediate
CHEMBL135115,6.82,Active
CHEMBL1351273,7.2,Active
CHEMBL135172,7.95,Active
CHEMBL135340,6.82,Active
CHEMBL135378,7.75,Active
CHEMBL135381,8.19,Active
CHEMBL135396,5.35,Intermediate
CHEMBL135494,7.9,Active
CHEMBL135540,6.17,Intermediate
CHEMBL135563,8.03,Active
CHEMBL135595,7.97,Active
CHEMBL135606,7.4,Active
CHEMBL135633,6.49,Intermediate
CHEMBL135709,6.5,Active
CHEMBL135921,7.55,Active
CHEMBL137001,7.96,Active
CHEMBL137002,7.18,Active
CHEMBL137049,7.3,Active
CHEMBL1371590,6.7,Active
CHEMBL137373,7.4,Active
CHEMBL137396,7.3,Active
CHEMBL137589,7.52,Active
CHEMBL137604,8.03,Active
CHEMBL13784,7.22,Active
CHEMBL138538,6.64,Active
CHEMBL1389987,4.97,Inactive
CHEMBL1397,5.08,Intermediate
CHEMBL1399,7.8925,Active
CHEMBL1399,9.89,Active
CHEMBL1405,4.58,Inactive
CHEMBL1405,5.6,Intermediate
CHEMBL14192,6.82,Active
CHEMBL1424243,4.64,Inactive
CHEMBL1444,8.07,Active
CHEMBL1444,9.68,Active
CHEMBL1454842,6.1,Intermediate
CHEMBL1485809,7.78,Active
CHEMBL148903,4.845000000000001,Inactive
CHEMBL149238,4.95,Inactive
CHEMBL149238,6.1,Intermediate
CHEMBL149750,5.5,Intermediate
CHEMBL149791,4.6,Inactive
CHEMBL150146,5.11,Intermediate
CHEMBL150278,6.5,Active
CHEMBL150653,5.45,Intermediate
CHEMBL150681,5.26,Intermediate
CHEMBL150799,4.85,Inactive
CHEMBL150999,4.73,Inactive
CHEMBL151,5.92,Intermediate
CHEMBL151037,5.71,Intermediate
CHEMBL151038,6.32,Intermediate
CHEMBL151207,6.44,Intermediate
CHEMBL151212,4.975,Inactive
CHEMBL151212,6.0,Intermediate
CHEMBL151449,5.79,Intermediate
CHEMBL151646,5.07,Intermediate
CHEMBL151691,4.9,Inactive
CHEMBL151691,5.76,Intermediate
CHEMBL1521315,6.0,Intermediate
CHEMBL152237,7.14,Active
CHEMBL1538978,5.6,Intermediate
CHEMBL154104,7.39,Active
CHEMBL154918,7.19,Active
CHEMBL15594,4.55,Inactive
CHEMBL1571,4.46,Inactive
CHEMBL157101,5.866666666666666,Intermediate
CHEMBL157101,5.663333333333334,Intermediate
CHEMBL157925,5.43,Intermediate
CHEMBL158325,4.01,Inactive
CHEMBL158326,4.35,Inactive
CHEMBL158397,4.89,Inactive
CHEMBL158600,5.4,Intermediate
CHEMBL158635,6.26,Intermediate
CHEMBL158984,7.0,Active
CHEMBL159073,7.400000000000001,Active
CHEMBL1601919,6.05,Intermediate
CHEMBL1601919,7.2,Active
CHEMBL161230,6.62,Active
CHEMBL161530,5.68,Intermediate
CHEMBL162431,5.74,Intermediate
CHEMBL162496,7.82,Active
CHEMBL162549,6.71,Active
CHEMBL162585,8.7,Active
CHEMBL1627334,4.11,Inactive
CHEMBL1627334,7.0,Active
CHEMBL1627337,4.06,Inactive
CHEMBL1628064,4.05,Inactive
CHEMBL1628064,7.0,Active
CHEMBL162834,7.85,Active
CHEMBL1629800,6.65,Active
CHEMBL1629800,7.3,Active
CHEMBL1629801,4.52,Inactive
CHEMBL1629802,6.81,Active
CHEMBL1629802,7.42,Active
CHEMBL1629803,5.19,Intermediate
CHEMBL1629804,7.25,Active
CHEMBL1629804,7.829999999999999,Active
CHEMBL1629805,6.816666666666666,Active
CHEMBL1629805,8.01,Active
CHEMBL1629806,6.72,Active
CHEMBL1629806,7.8,Active
CHEMBL1630260,5.82,Intermediate
CHEMBL1630261,7.3,Active
CHEMBL1630261,8.22,Active
CHEMBL1630262,5.75,Intermediate
CHEMBL1630263,6.19,Intermediate
CHEMBL1630263,7.16,Active
CHEMBL1630264,6.18,Intermediate
CHEMBL1630264,7.22,Active
CHEMBL1630265,5.44,Intermediate
CHEMBL1630266,5.9,Intermediate
CHEMBL1630266,6.6,Active
CHEMBL1630267,6.03,Intermediate
CHEMBL1630267,6.96,Active
CHEMBL1630268,6.55,Active
CHEMBL1630269,6.16,Intermediate
CHEMBL1630270,6.0,Intermediate
CHEMBL1630271,4.96,Inactive
CHEMBL1630272,6.07,Intermediate
CHEMBL1630273,5.17,Intermediate
CHEMBL1630273,6.1,Intermediate
CHEMBL1630274,7.51,Active
CHEMBL1630274,8.47,Active
CHEMBL1630276,5.75,Intermediate
CHEMBL1630277,5.35,Intermediate
