molecule_chembl_id,pchembl_value,activity_class
CHEMBL5423518,5.89,Intermediate
CHEMBL3752050,5.72,Intermediate
CHEMBL133145,7.12,Active
CHEMBL5423512,5.07,Intermediate
CHEMBL5283480,4.92,Inactive
CHEMBL5419940,4.8,Inactive
CHEMBL3753403,7.66,Active
CHEMBL3754055,8.15,Active
CHEMBL3793576,5.51,Intermediate
CHEMBL3623231,9.96,Active
CHEMBL5281951,5.23,Intermediate
CHEMBL1784796,5.46,Intermediate
CHEMBL5273888,6.7,Active
CHEMBL5408436,10.0,Active
CHEMBL3349864,6.55,Active
CHEMBL206351,6.09,Intermediate
CHEMBL194440,5.11,Intermediate
CHEMBL2336854,6.63,Active
CHEMBL5289206,7.22,Active
CHEMBL3753855,6.82,Active
CHEMBL105298,6.565,Active
CHEMBL1098426,6.7,Active
CHEMBL282079,5.4,Intermediate
CHEMBL5431946,5.49,Intermediate
CHEMBL5290751,6.16,Intermediate
CHEMBL5402637,6.2,Intermediate
CHEMBL1933690,6.1,Intermediate
CHEMBL4174373,6.56,Active
CHEMBL5289535,6.13,Intermediate
CHEMBL5273506,5.42,Intermediate
CHEMBL5283967,4.9,Inactive
CHEMBL266532,6.55,Active
CHEMBL1825045,5.87,Intermediate
CHEMBL101893,4.6,Inactive
CHEMBL260553,5.23,Intermediate
CHEMBL609618,6.55,Active
CHEMBL3752155,8.07,Active
CHEMBL325461,4.890000000000001,Inactive
CHEMBL305630,6.4,Intermediate
CHEMBL415725,7.08,Active
CHEMBL5421275,7.01,Active
CHEMBL379019,6.89,Active
CHEMBL5410174,6.7,Active
CHEMBL609332,7.13,Active
CHEMBL1629800,7.3,Active
CHEMBL5436290,7.2,Active
CHEMBL5270644,5.26,Intermediate
CHEMBL226736,7.38,Active
CHEMBL4126284,5.0,Intermediate
CHEMBL3752619,6.85,Active
CHEMBL2386285,7.32,Active
CHEMBL5425567,7.5,Active
CHEMBL5289394,6.82,Active
CHEMBL5274084,7.38,Active
CHEMBL5266927,6.7,Active
CHEMBL463638,5.15,Intermediate
CHEMBL4288256,5.0,Intermediate
CHEMBL1824763,4.87,Inactive
CHEMBL4582591,6.54,Active
CHEMBL479928,7.37,Active
CHEMBL5400682,6.12,Intermediate
CHEMBL4224728,5.93,Intermediate
CHEMBL1630261,8.22,Active
CHEMBL3752315,8.6,Active
CHEMBL66673,5.47,Intermediate
CHEMBL438802,5.9,Intermediate
CHEMBL1097043,7.5,Active
CHEMBL3754519,8.47,Active
CHEMBL5270986,4.13,Inactive
CHEMBL224665,8.64,Active
CHEMBL3623220,5.68,Intermediate
CHEMBL2113276,6.69,Active
CHEMBL589974,9.66,Active
CHEMBL5428361,5.22,Intermediate
CHEMBL151,5.92,Intermediate
CHEMBL3105517,4.82,Inactive
CHEMBL2312959,6.94,Active
CHEMBL5560949,7.08,Active
CHEMBL4166769,5.08,Intermediate
CHEMBL2443356,6.8,Active
CHEMBL336387,7.44,Active
CHEMBL1162951,4.92,Inactive
CHEMBL451201,6.2,Intermediate
CHEMBL522733,7.88,Active
CHEMBL3622363,6.68,Active
CHEMBL4777271,8.32,Active
CHEMBL102536,6.775,Active
CHEMBL2113268,6.12,Intermediate
CHEMBL1444,9.68,Active
CHEMBL4170393,4.92,Inactive
CHEMBL3421766,7.12,Active
CHEMBL2333334,6.25,Intermediate
CHEMBL1824742,5.33,Intermediate
CHEMBL4590541,7.22,Active
CHEMBL4750835,6.98,Active
CHEMBL1783177,7.5,Active
CHEMBL302305,5.645,Intermediate
CHEMBL5278979,4.08,Inactive
CHEMBL1203766,8.12,Active
CHEMBL189051,7.0,Active
CHEMBL5423840,5.0,Intermediate
CHEMBL404225,5.37,Intermediate
CHEMBL362441,5.95,Intermediate
CHEMBL2336853,6.69,Active
CHEMBL5946526,4.36,Inactive
CHEMBL287574,5.2075000000000005,Intermediate
CHEMBL283085,6.39,Intermediate
CHEMBL229790,4.6,Inactive
CHEMBL1835539,4.58,Inactive
CHEMBL3752165,6.13,Intermediate
CHEMBL3099695,5.696666666666666,Intermediate
CHEMBL4451962,6.39,Intermediate
CHEMBL5559841,6.29,Intermediate
CHEMBL2386284,6.36,Intermediate
CHEMBL154918,7.19,Active
CHEMBL368732,5.1,Intermediate
CHEMBL5438879,8.15,Active
CHEMBL23646,6.62,Active
CHEMBL5269004,5.89,Intermediate
